"ISSUE_DATE","LATITUDE","LONGITUDE","PropType"
"2015-02-04T00:00:00.000Z",38.865383,-76.981447,"Single Family"
"2014-03-31T00:00:00.000Z",38.964416,-77.005096,"Single Family"
"2015-04-22T00:00:00.000Z",38.855462,-76.981049,"Single Family"
"2013-09-04T00:00:00.000Z",38.865369,-76.981365,"Single Family"
"2015-04-22T00:00:00.000Z",38.855463,-76.980976,"Single Family"
"2015-01-21T00:00:00.000Z",38.865328,-76.981308,"Single Family"
"2014-03-31T00:00:00.000Z",38.96428,-77.005455,"Single Family"
"2014-03-31T00:00:00.000Z",38.964363,-77.0051,"Single Family"
"2014-03-31T00:00:00.000Z",38.964229,-77.00547,"Single Family"
"2015-08-19T00:00:00.000Z",38.864302,-76.980428,"Single Family"
"2014-03-31T00:00:00.000Z",38.964316,-77.005092,"Single Family"
"2013-03-27T00:00:00.000Z",38.897915,-76.980674,"Single Family"
"2014-03-31T00:00:00.000Z",38.964177,-77.005481,"Single Family"
"2014-10-21T00:00:00.000Z",38.862805,-76.98032,"Single Family"
"2014-03-31T00:00:00.000Z",38.96426,-77.005083,"Single Family"
"2014-03-31T00:00:00.000Z",38.964131,-77.005472,"Single Family"
"2014-03-31T00:00:00.000Z",38.964083,-77.005489,"Single Family"
"2012-06-14T00:00:00.000Z",38.913201,-77.015936,"Single Family"
"2015-10-07T00:00:00.000Z",38.862595,-76.979296,"Single Family"
"2015-12-07T00:00:00.000Z",38.862215,-76.978808,"Single Family"
"2015-08-26T00:00:00.000Z",38.86199,-76.979061,"Single Family"
"2015-12-07T00:00:00.000Z",38.862183,-76.978761,"Single Family"
"2015-08-26T00:00:00.000Z",38.86196,-76.979011,"Single Family"
"2015-12-07T00:00:00.000Z",38.86215,-76.978705,"Single Family"
"2015-08-26T00:00:00.000Z",38.861924,-76.978956,"Single Family"
"2015-12-07T00:00:00.000Z",38.862113,-76.978654,"Single Family"
"2015-08-26T00:00:00.000Z",38.861886,-76.978896,"Single Family"
"2015-12-07T00:00:00.000Z",38.862077,-76.978602,"Single Family"
"2013-03-12T00:00:00.000Z",38.855402,-76.978584,"Single Family"
"2013-03-12T00:00:00.000Z",38.855401,-76.978503,"Single Family"
"2015-01-20T00:00:00.000Z",38.914998,-77.083897,"Single Family"
"2014-12-04T00:00:00.000Z",38.914998,-77.08415,"Single Family"
"2013-03-12T00:00:00.000Z",38.855399,-76.978393,"Single Family"
"2013-03-12T00:00:00.000Z",38.8554,-76.978317,"Single Family"
"2013-01-09T00:00:00.000Z",38.914912,-77.084382,"Single Family"
"2012-08-14T00:00:00.000Z",38.912449,-76.985387,"Single Family"
"2012-08-14T00:00:00.000Z",38.91251,-76.985426,"Single Family"
"2012-08-14T00:00:00.000Z",38.912558,-76.985455,"Single Family"
