"","Address","Zip","List.Price","Close.Price","BRs","Bas","Half.BA","CloseDate","Date","year","month","MY","StrAddress"
"27964","930 HUGHES MEWS CT NW",20037,1350000,1356000,"3","3","1","10/31/13",2013-10-31,2013,10,"2013 10","930 HUGHES MEWS CT NW"
"27965","930 LONGFELLOW ST NW",20011,498700,469000,"3","2","1","8/4/14",2014-08-04,2014,8,"2014 8","930 LONGFELLOW ST NW"
"27966","930 LONGFELLOW ST NW",20011,240000,235000,"3","1","1","3/26/13",2013-03-26,2013,3,"2013 3","930 LONGFELLOW ST NW"
"27967","930 QUINCY ST NW",20011,699900,817000,"4","3","0","8/21/15",2015-08-21,2015,8,"2015 8","930 QUINCY ST NW"
"27968","931 7TH ST NE",20002,768500,826000,"4","3","1","3/7/14",2014-03-07,2014,3,"2014 3","931 7TH ST NE"
"27969","931 BLAKNEY LN SE",20032,280000,280000,"3","2","1","8/29/14",2014-08-29,2014,8,"2014 8","931 BLAKNEY LN SE"
"27970","931 R ST NW",20001,2650000,2288000,"5","5","0","9/9/13",2013-09-09,2013,9,"2013 9","931 R ST NW"
"27971","931 S ST NW",20001,799000,760000,"5","3","1","5/4/11",2011-05-04,2011,5,"2011 5","931 S ST NW"
"27972","931 WESTMINSTER ST NW #B",20001,550000,550000,"2","1","1","9/1/15",2015-09-01,2015,9,"2015 9","931 WESTMINSTER ST NW"
"27973","932 9TH ST NE",20002,435623,435623,"2","2","1","11/21/13",2013-11-21,2013,11,"2013 11","932 9TH ST NE"
"27974","932 NORTH CAROLINA AVE SE",20003,849000,850000,"3","4","0","11/5/13",2013-11-05,2013,11,"2013 11","932 NORTH CAROLINA AVE SE"
"27975","933 5TH ST NE",20002,625000,645000,"3","2","1","3/28/13",2013-03-28,2013,3,"2013 3","933 5TH ST NE"
"27976","933 8TH ST NE",20002,419900,415000,"2","1","1","8/28/13",2013-08-28,2013,8,"2013 8","933 8TH ST NE"
"27977","933 8TH ST NE",20002,3e+05,302000,"2","1","1","2/21/13",2013-02-21,2013,2,"2013 2","933 8TH ST NE"
"27978","934 4TH ST NE",20002,425000,5e+05,"2","1","0","7/15/14",2014-07-15,2014,7,"2014 7","934 4TH ST NE"
"27979","934 PERRY PL NE",20017,465000,480500,"3","2","0","2/27/14",2014-02-27,2014,2,"2014 2","934 PERRY PL NE"
"27980","935 8TH ST NE",20002,340000,340000,"2","1","0","8/23/13",2013-08-23,2013,8,"2013 8","935 8TH ST NE"
"27981","936 MADISON ST NW #102",20011,137000,137000,"1","1","0","10/4/13",2013-10-04,2013,10,"2013 10","936 MADISON ST NW"
"27982","936 MADISON ST NW #104",20011,384900,385000,"2","2","0","6/16/15",2015-06-16,2015,6,"2015 6","936 MADISON ST NW"
"27983","936 MADISON ST NW #204",20011,199900,194250,"2","2","0","10/28/11",2011-10-28,2011,10,"2011 10","936 MADISON ST NW"
"27984","936 N ST NW #2",20001,449900,425000,"2","2","0","11/15/11",2011-11-15,2011,11,"2011 11","936 N ST NW"
"27985","936 N ST NW #3",20001,434900,425000,"2","2","0","4/20/12",2012-04-20,2012,4,"2012 4","936 N ST NW"
"27986","936 N ST NW #5",20001,525000,525000,"2","2","0","8/27/15",2015-08-27,2015,8,"2015 8","936 N ST NW"
"27987","936 N ST NW #5",20001,449900,425000,"2","2","0","11/14/11",2011-11-14,2011,11,"2011 11","936 N ST NW"
"27988","936 N ST NW #6",20001,749000,745000,"2","2","0","5/19/15",2015-05-19,2015,5,"2015 5","936 N ST NW"
"27989","936 N ST NW #7",20001,649900,629000,"2","2","0","5/26/11",2011-05-26,2011,5,"2011 5","936 N ST NW"
"27990","936 O ST NW",20001,749000,775000,"2","2","1","6/17/14",2014-06-17,2014,6,"2014 6","936 O ST NW"
"27991","937 RANDOLPH ST NW #2",20011,249999,247000,"1","1","0","4/2/13",2013-04-02,2013,4,"2013 4","937 RANDOLPH ST NW"
"27992","937 WESTMINSTER ST NW",20001,1299999,1200000,"4","4","0","10/4/12",2012-10-04,2012,10,"2012 10","937 WESTMINSTER ST NW"
"27993","937 WESTMINSTER ST NW",20001,520000,590000,"6","1","1","9/30/11",2011-09-30,2011,9,"2011 9","937 WESTMINSTER ST NW"
"27994","938 PERRY PL NE",20017,325000,378000,"3","1","1","2/1/13",2013-02-01,2013,2,"2013 2","938 PERRY PL NE"
"27995","938 QUINCY ST NW",20011,559000,559000,"3","2","1","2/21/12",2012-02-21,2012,2,"2012 2","938 QUINCY ST NW"
"27996","938 SHEPHERD ST NW",20011,464500,464000,"3","1","0","8/31/12",2012-08-31,2012,8,"2012 8","938 SHEPHERD ST NW"
"27997","939 LONGFELLOW ST NW #110",20011,180000,150000,"3","1","0","4/25/14",2014-04-25,2014,4,"2014 4","939 LONGFELLOW ST NW"
"27998","939 M ST NW #B",20001,1449000,1449000,"4","3","1","11/3/14",2014-11-03,2014,11,"2014 11","939 M ST NW"
"27999","939 M ST NW #UNIT A",20001,1199000,1082500,"4","3","1","1/9/15",2015-01-09,2015,1,"2015 1","939 M ST NW"
"28000","939 T ST NW",20001,540870,622000,"3","1","1","5/23/12",2012-05-23,2012,5,"2012 5","939 T ST NW"
"28001","94 15TH ST NE #94",20002,323000,323000,"1","1","0","4/19/12",2012-04-19,2012,4,"2012 4","94 15TH ST NE"
"28002","94 WEBSTER ST NE #1",20011,78000,67000,"1","1","0","4/23/12",2012-04-23,2012,4,"2012 4","94 WEBSTER ST NE"
"28003","940 EASTERN AVE NE #10",20019,60000,68000,"2","2","0","11/13/13",2013-11-13,2013,11,"2013 11","940 EASTERN AVE NE"
"28004","940 EASTERN AVE NE #3",20019,50000,55000,"1","1","0","8/21/14",2014-08-21,2014,8,"2014 8","940 EASTERN AVE NE"
"28005","940 EASTERN AVE NE #4",20019,45000,45000,"1","1","0","11/11/13",2013-11-11,2013,11,"2013 11","940 EASTERN AVE NE"
"28006","940 EASTERN AVE NE #8",20019,55000,58000,"1","1","0","8/24/15",2015-08-24,2015,8,"2015 8","940 EASTERN AVE NE"
"28007","940 O ST NW",20001,850000,925000,"3","3","1","7/3/13",2013-07-03,2013,7,"2013 7","940 O ST NW"
"28008","941 M ST NW #PH-B",20001,1449000,1375000,"4","3","1","11/7/14",2014-11-07,2014,11,"2014 11","941 M ST NW"
"28009","941 M ST NW #UNIT A",20001,1199000,1075000,"4","3","1","11/6/14",2014-11-06,2014,11,"2014 11","941 M ST NW"
"28010","941 S ST NW",20001,950000,985000,"5","2","1","7/10/14",2014-07-10,2014,7,"2014 7","941 S ST NW"
"28011","941 WESTMINSTER ST NW",20001,999999,995000,"4","3","1","10/7/11",2011-10-07,2011,10,"2011 10","941 WESTMINSTER ST NW"
"28012","941SE 15TH ST SE",20003,660000,620000,"3","2","0","4/14/15",2015-04-14,2015,4,"2015 4","941SE 15TH ST SE"
"28013","944 EASTERN AVE NE #1",20019,65000,65000,"2","2","0","10/16/14",2014-10-16,2014,10,"2014 10","944 EASTERN AVE NE"
"28014","945 RANDOLPH ST NW #945A",20011,245000,230000,"1","1","0","4/22/13",2013-04-22,2013,4,"2013 4","945 RANDOLPH ST NW"
"28015","945 RANDOLPH ST NW #945B",20011,220000,220000,"1","1","0","3/21/14",2014-03-21,2014,3,"2014 3","945 RANDOLPH ST NW"
"28016","945 T ST NW #1",20001,539000,542800,"3","2","0","6/5/12",2012-06-05,2012,6,"2012 6","945 T ST NW"
"28017","946 S ST NW",20001,699999,685000,"3","1","0","4/13/15",2015-04-13,2015,4,"2015 4","946 S ST NW"
"28018","947 14TH ST SE",20003,699000,706000,"4","3","0","1/9/15",2015-01-09,2015,1,"2015 1","947 14TH ST SE"
"28019","948 4TH ST SE",20003,699000,699000,"2","2","1","12/21/12",2012-12-21,2012,12,"2012 12","948 4TH ST SE"
"28020","948 EASTERN AVE NE #1",20019,50000,47500,"1","1","0","11/22/13",2013-11-22,2013,11,"2013 11","948 EASTERN AVE NE"
"28021","948 EASTERN AVE NE #4",20019,57900,57900,"1","1","0","2/20/15",2015-02-20,2015,2,"2015 2","948 EASTERN AVE NE"
"28022","949 T ST NW",20001,690000,675000,"3","2","1","3/31/12",2012-03-31,2012,3,"2012 3","949 T ST NW"
"28023","95 14TH ST NE #95",20002,299900,299900,"1","1","0","5/17/13",2013-05-17,2013,5,"2013 5","95 14TH ST NE"
"28024","95 HAWTHORNE CT NE #95",20017,220000,2e+05,"2","1","0","12/14/12",2012-12-14,2012,12,"2012 12","95 HAWTHORNE CT NE"
"28025","950 SHEPHERD ST NW",20011,699900,765000,"4","3","1","10/27/14",2014-10-27,2014,10,"2014 10","950 SHEPHERD ST NW"
"28026","952 SHEPHERD ST NW",20011,479000,504000,"4","2","1","11/30/12",2012-11-30,2012,11,"2012 11","952 SHEPHERD ST NW"
"28027","954 FLORIDA AVE NW",20001,375000,375000,"2","2","0","8/19/15",2015-08-19,2015,8,"2015 8","954 FLORIDA AVE NW"
"28028","955 26TH ST NW #109",20037,369500,379500,"1","1","0","10/21/13",2013-10-21,2013,10,"2013 10","955 26TH ST NW"
"28029","956 FLORIDA AVE NW",20001,474900,474900,"2","1","0","6/27/12",2012-06-27,2012,6,"2012 6","956 FLORIDA AVE NW"
"28030","958 FLORIDA AVE NW",20001,449900,439900,"2","1","0","5/20/13",2013-05-20,2013,5,"2013 5","958 FLORIDA AVE NW"
"28031","96 BRANDYWINE PL SW",20032,150000,147000,"2","2","0","1/31/14",2014-01-31,2014,1,"2014 1","96 BRANDYWINE PL SW"
