"","Address","Zip","List.Price","Close.Price","BRs","Bas","Half.BA","CloseDate","Date","year","month","MY","StrAddress"
"1","0 13TH ST NE",20002,129500,101500,"0","0","0","9/23/14",2014-09-23,2014,9,"2014 9","0 13TH ST NE"
"2","0 BANCROFT PL NW",20008,1350000,1350000,"1","1","0","8/23/12",2012-08-23,2012,8,"2012 8","0 BANCROFT PL NW"
"3","1 14TH ST NE #1",20002,337000,327250,"1","1","0","11/10/11",2011-11-10,2011,11,"2011 11","1 14TH ST NE"
"4","1 14TH ST NE #1",20002,409000,399999,"1","1","0","10/7/13",2013-10-07,2013,10,"2013 10","1 14TH ST NE"
"5","1 18TH ST SE #104",20003,309000,309000,"2","2","0","6/26/13",2013-06-26,2013,6,"2013 6","1 18TH ST SE"
"6","1 18TH ST SE #104",20003,379000,390000,"2","2","0","3/24/15",2015-03-24,2015,3,"2015 3","1 18TH ST SE"
"7","1 18TH ST SE #203",20003,360000,352500,"2","2","0","5/31/13",2013-05-31,2013,5,"2013 5","1 18TH ST SE"
"8","1 18TH ST SE #301",20003,424900,422000,"2","2","0","10/30/13",2013-10-30,2013,10,"2013 10","1 18TH ST SE"
"9","1 18TH ST SE #303",20003,369900,370000,"2","2","0","12/17/13",2013-12-17,2013,12,"2013 12","1 18TH ST SE"
"10","1 18TH ST SE #304",20003,359900,362000,"2","2","0","7/3/12",2012-07-03,2012,7,"2012 7","1 18TH ST SE"
"11","1 CRITTENDEN ST NE",20011,374000,386000,"3","2","0","4/12/13",2013-04-12,2013,4,"2013 4","1 CRITTENDEN ST NE"
"12","1 DERBY LN SE",20003,674900,758000,"2","2","1","3/10/14",2014-03-10,2014,3,"2014 3","1 DERBY LN SE"
"13","1 GESSFORD CT SE",20003,380000,455000,"2","1","0","2/11/13",2013-02-11,2013,2,"2013 2","1 GESSFORD CT SE"
"14","1 HAWTHORNE CT NE #1",20017,255000,250000,"2","2","1","7/11/12",2012-07-11,2012,7,"2012 7","1 HAWTHORNE CT NE"
"15","1 LOGAN CIR NW #8",20005,949000,949000,"2","2","0","6/7/13",2013-06-07,2013,6,"2013 6","1 LOGAN CIR NW"
"16","1 LOGAN CIRCLE NW #7",20005,995000,1015000,"2","2","0","7/22/13",2013-07-22,2013,7,"2013 7","1 LOGAN CIRCLE NW"
"17","1 MISSOURI AVE NW",20011,449900,385000,"3","2","1","2/11/14",2014-02-11,2014,2,"2014 2","1 MISSOURI AVE NW"
"18","1 RHODE ISLAND AVE NE",20002,599000,636500,"4","3","1","7/13/12",2012-07-13,2012,7,"2012 7","1 RHODE ISLAND AVE NE"
"19","1 SCOTT CIR NW #101",20036,299900,299900,"1","1","0","2/27/14",2014-02-27,2014,2,"2014 2","1 SCOTT CIR NW"
"20","1 SCOTT CIR NW #104",20036,248000,262500,"1","1","0","5/14/15",2015-05-14,2015,5,"2015 5","1 SCOTT CIR NW"
"21","1 SCOTT CIR NW #106",20036,269900,265000,"1","1","0","11/15/13",2013-11-15,2013,11,"2013 11","1 SCOTT CIR NW"
"22","1 SCOTT CIR NW #113",20036,219900,225000,"1","1","0","4/25/13",2013-04-25,2013,4,"2013 4","1 SCOTT CIR NW"
"23","1 SCOTT CIR NW #116",20036,239900,232500,"1","1","0","7/20/12",2012-07-20,2012,7,"2012 7","1 SCOTT CIR NW"
"24","1 SCOTT CIR NW #120",20036,214900,209300,"1","1","0","6/24/11",2011-06-24,2011,6,"2011 6","1 SCOTT CIR NW"
"25","1 SCOTT CIR NW #205",20036,224900,224900,"1","1","0","2/20/15",2015-02-20,2015,2,"2015 2","1 SCOTT CIR NW"
"26","1 SCOTT CIR NW #206",20036,229995,225000,"1","1","0","11/14/12",2012-11-14,2012,11,"2012 11","1 SCOTT CIR NW"
"27","1 SCOTT CIR NW #207",20036,190000,197000,"0","1","0","1/9/12",2012-01-09,2012,1,"2012 1","1 SCOTT CIR NW"
"28","1 SCOTT CIR NW #210",20036,224900,226000,"1","1","0","7/8/11",2011-07-08,2011,7,"2011 7","1 SCOTT CIR NW"
"29","1 SCOTT CIR NW #211",20036,249900,247000,"1","1","0","1/21/14",2014-01-21,2014,1,"2014 1","1 SCOTT CIR NW"
"30","1 SCOTT CIR NW #211",20036,239900,239900,"1","1","0","5/22/12",2012-05-22,2012,5,"2012 5","1 SCOTT CIR NW"
"31","1 SCOTT CIR NW #213",20036,254000,257620,"1","1","0","12/16/14",2014-12-16,2014,12,"2014 12","1 SCOTT CIR NW"
"32","1 SCOTT CIR NW #215",20036,214900,222000,"1","1","0","6/5/13",2013-06-05,2013,6,"2013 6","1 SCOTT CIR NW"
"33","1 SCOTT CIR NW #217",20036,240000,225000,"1","1","0","4/2/15",2015-04-02,2015,4,"2015 4","1 SCOTT CIR NW"
"34","1 SCOTT CIR NW #217",20036,239900,239900,"1","1","0","10/31/12",2012-10-31,2012,10,"2012 10","1 SCOTT CIR NW"
"35","1 SCOTT CIR NW #220",20036,229000,234000,"1","1","0","2/1/13",2013-02-01,2013,2,"2013 2","1 SCOTT CIR NW"
"36","1 SCOTT CIR NW #302",20036,245000,252000,"1","1","0","1/24/14",2014-01-24,2014,1,"2014 1","1 SCOTT CIR NW"
"37","1 SCOTT CIR NW #305",20036,249555,262555,"1","1","0","4/14/15",2015-04-14,2015,4,"2015 4","1 SCOTT CIR NW"
"38","1 SCOTT CIR NW #309",20036,225000,237000,"0","1","0","5/29/13",2013-05-29,2013,5,"2013 5","1 SCOTT CIR NW"
"39","1 SCOTT CIR NW #315",20036,234900,234900,"1","1","0","4/7/15",2015-04-07,2015,4,"2015 4","1 SCOTT CIR NW"
"40","1 SCOTT CIR NW #315",20036,199900,195000,"1","1","0","12/30/11",2011-12-30,2011,12,"2011 12","1 SCOTT CIR NW"
"41","1 SCOTT CIR NW #316",20036,229900,229000,"1","1","0","8/23/12",2012-08-23,2012,8,"2012 8","1 SCOTT CIR NW"
"42","1 SCOTT CIR NW #319",20036,225000,225000,"1","1","0","9/7/12",2012-09-07,2012,9,"2012 9","1 SCOTT CIR NW"
"43","1 SCOTT CIR NW #320",20036,232500,228500,"1","1","0","1/29/13",2013-01-29,2013,1,"2013 1","1 SCOTT CIR NW"
"44","1 SCOTT CIR NW #407",20036,255000,269000,"1","1","0","8/14/15",2015-08-14,2015,8,"2015 8","1 SCOTT CIR NW"
"45","1 SCOTT CIR NW #407",20036,254900,250000,"1","1","0","5/4/11",2011-05-04,2011,5,"2011 5","1 SCOTT CIR NW"
"46","1 SCOTT CIR NW #410",20036,230000,225000,"0","1","0","3/25/15",2015-03-25,2015,3,"2015 3","1 SCOTT CIR NW"
"47","1 SCOTT CIR NW #411",20036,255000,255000,"1","1","0","5/12/14",2014-05-12,2014,5,"2014 5","1 SCOTT CIR NW"
"48","1 SCOTT CIR NW #413",20036,250000,275000,"1","1","0","8/7/14",2014-08-07,2014,8,"2014 8","1 SCOTT CIR NW"
"49","1 SCOTT CIR NW #421",20036,299900,299900,"1","1","0","10/18/13",2013-10-18,2013,10,"2013 10","1 SCOTT CIR NW"
"50","1 SCOTT CIR NW #501",20036,315000,310000,"1","1","0","5/11/11",2011-05-11,2011,5,"2011 5","1 SCOTT CIR NW"
"51","1 SCOTT CIR NW #506",20036,251660,251660,"1","1","0","1/14/15",2015-01-14,2015,1,"2015 1","1 SCOTT CIR NW"
"52","1 SCOTT CIR NW #509",20036,239900,239900,"0","1","0","8/27/15",2015-08-27,2015,8,"2015 8","1 SCOTT CIR NW"
"53","1 SCOTT CIR NW #511",20036,255900,260000,"1","1","0","2/22/13",2013-02-22,2013,2,"2013 2","1 SCOTT CIR NW"
"54","1 SCOTT CIR NW #521",20036,324900,325000,"1","1","0","3/29/13",2013-03-29,2013,3,"2013 3","1 SCOTT CIR NW"
"55","1 SCOTT CIR NW #601",20036,299000,299000,"1","1","0","12/16/14",2014-12-16,2014,12,"2014 12","1 SCOTT CIR NW"
"56","1 SCOTT CIR NW #604",20036,222500,225500,"0","1","0","6/26/13",2013-06-26,2013,6,"2013 6","1 SCOTT CIR NW"
"57","1 SCOTT CIR NW #606",20036,254000,254000,"1","1","0","3/21/14",2014-03-21,2014,3,"2014 3","1 SCOTT CIR NW"
"58","1 SCOTT CIR NW #617",20036,219000,219000,"1","1","0","9/7/12",2012-09-07,2012,9,"2012 9","1 SCOTT CIR NW"
"59","1 SCOTT CIR NW #621",20036,375000,375000,"1","1","0","6/4/14",2014-06-04,2014,6,"2014 6","1 SCOTT CIR NW"
"60","1 SCOTT CIR NW #709",20036,199999,199999,"0","1","0","12/21/11",2011-12-21,2011,12,"2011 12","1 SCOTT CIR NW"
"61","1 SCOTT CIR NW #709",20036,249999,250000,"0","1","0","3/21/14",2014-03-21,2014,3,"2014 3","1 SCOTT CIR NW"
"62","1 SCOTT CIR NW #711",20036,270000,260000,"1","1","0","8/21/15",2015-08-21,2015,8,"2015 8","1 SCOTT CIR NW"
"63","1 SCOTT CIR NW #713",20036,319900,307500,"1","1","0","7/25/14",2014-07-25,2014,7,"2014 7","1 SCOTT CIR NW"
"64","1 SCOTT CIR NW #713",20036,249500,258200,"1","1","0","11/19/13",2013-11-19,2013,11,"2013 11","1 SCOTT CIR NW"
"65","1 SCOTT CIR NW #714",20036,169500,155000,"0","1","0","12/30/11",2011-12-30,2011,12,"2011 12","1 SCOTT CIR NW"
"66","1 SCOTT CIR NW #715",20036,212000,215000,"1","1","0","10/12/11",2011-10-12,2011,10,"2011 10","1 SCOTT CIR NW"
"67","1 SCOTT CIR NW #8",20036,259000,263000,"1","1","0","7/13/12",2012-07-13,2012,7,"2012 7","1 SCOTT CIR NW"
"68","1 SCOTT CIR NW #801",20036,269000,255000,"1","1","0","2/3/12",2012-02-03,2012,2,"2012 2","1 SCOTT CIR NW"
"69","1 SCOTT CIR NW #804",20036,259900,270000,"1","1","0","7/21/15",2015-07-21,2015,7,"2015 7","1 SCOTT CIR NW"
"70","1 SCOTT CIR NW #811",20036,264900,275000,"1","1","0","5/15/14",2014-05-15,2014,5,"2014 5","1 SCOTT CIR NW"
"71","1 SCOTT CIR NW #812",20036,259500,280000,"1","1","0","3/29/13",2013-03-29,2013,3,"2013 3","1 SCOTT CIR NW"
"72","1 SCOTT CIR NW #813",20036,249900,275000,"1","1","0","10/30/13",2013-10-30,2013,10,"2013 10","1 SCOTT CIR NW"
"73","1 SCOTT CIR NW #815",20036,229900,229000,"1","1","0","8/17/15",2015-08-17,2015,8,"2015 8","1 SCOTT CIR NW"
"74","1 SCOTT CIR NW #821",20036,275000,284500,"1","1","0","6/30/11",2011-06-30,2011,6,"2011 6","1 SCOTT CIR NW"
"75","1 SCOTT CIR NW #PH",20036,479000,489000,"1","1","0","4/24/13",2013-04-24,2013,4,"2013 4","1 SCOTT CIR NW"
"76","1 SHERMAN CIR NW",20011,729900,725000,"4","3","1","7/19/13",2013-07-19,2013,7,"2013 7","1 SHERMAN CIR NW"
"77","1 U ST NW #A",20001,539000,539000,"3","2","1","1/14/13",2013-01-14,2013,1,"2013 1","1 U ST NW"
"78","1 U ST NW #B",20001,475000,475000,"3","2","1","5/13/13",2013-05-13,2013,5,"2013 5","1 U ST NW"
"79","10 8TH ST SE",20003,775000,770000,"2","1","1","6/5/15",2015-06-05,2015,6,"2015 6","10 8TH ST SE"
"80","10 8TH ST SE",20003,679900,665000,"2","1","1","9/30/11",2011-09-30,2011,9,"2011 9","10 8TH ST SE"
"81","10 BROWNS CT SE",20003,484900,475000,"2","1","0","1/21/14",2014-01-21,2014,1,"2014 1","10 BROWNS CT SE"
"82","10 BRYANT ST NE",20002,425000,410000,"4","2","1","3/7/12",2012-03-07,2012,3,"2012 3","10 BRYANT ST NE"
"83","10 GIRARD ST NE",20002,450000,435000,"3","1","1","10/11/13",2013-10-11,2013,10,"2013 10","10 GIRARD ST NE"
"84","10 N ST NW",20001,567000,567000,"3","2","0","8/28/14",2014-08-28,2014,8,"2014 8","10 N ST NW"
"85","10 R ST NE",20002,930000,950000,"4","4","1","9/14/15",2015-09-14,2015,9,"2015 9","10 R ST NE"
"86","10 RANDLE CIR SE",20019,179900,158400,"2","2","0","11/29/13",2013-11-29,2013,11,"2013 11","10 RANDLE CIR SE"
"87","10 T ST NW",20001,769900,769000,"4","3","1","5/13/13",2013-05-13,2013,5,"2013 5","10 T ST NW"
"88","10 T ST NW",20001,5e+05,430000,"3","2","0","11/29/12",2012-11-29,2012,11,"2012 11","10 T ST NW"
"89","10 WESLEY CIR NW",20016,1795000,1635000,"6","4","1","5/23/14",2014-05-23,2014,5,"2014 5","10 WESLEY CIR NW"
"90","100 BRYANT ST NW",20001,1295000,1300000,"7","5","1","4/26/13",2013-04-26,2013,4,"2013 4","100 BRYANT ST NW"
"91","100 DANBURY ST SW #100",20032,80000,50000,"3","1","0","5/4/15",2015-05-04,2015,5,"2015 5","100 DANBURY ST SW"
"92","100 FORRESTER ST SW",20032,199900,180000,"2","1","1","3/27/15",2015-03-27,2015,3,"2015 3","100 FORRESTER ST SW"
"93","100 ONEIDA ST NE",20011,649999,635000,"4","3","1","6/30/15",2015-06-30,2015,6,"2015 6","100 ONEIDA ST NE"
"94","100 ONEIDA ST NE",20011,325000,315000,"4","1","2","9/16/13",2013-09-16,2013,9,"2013 9","100 ONEIDA ST NE"
"95","100 W ST NW",20001,999900,875000,"6","4","1","6/24/11",2011-06-24,2011,6,"2011 6","100 W ST NW"
"96","1000 D ST SE",20003,949000,1110000,"4","3","0","5/24/13",2013-05-24,2013,5,"2013 5","1000 D ST SE"
"97","1000 EAST CAPITOL ST NE #2",20003,409000,375000,"2","1","0","7/13/14",2014-07-13,2014,7,"2014 7","1000 EAST CAPITOL ST NE"
"98","1000 G ST NE",20002,739000,730000,"4","2","1","8/1/12",2012-08-01,2012,8,"2012 8","1000 G ST NE"
"99","1000 KENYON ST NW",20010,650000,650000,"3","3","1","10/25/13",2013-10-25,2013,10,"2013 10","1000 KENYON ST NW"
"100","1000 MONROE ST NE",20017,255500,265000,"5","2","0","8/5/11",2011-08-05,2011,8,"2011 8","1000 MONROE ST NE"
"101","1000 MONROE ST NW",20010,650000,750000,"4","2","1","6/14/13",2013-06-14,2013,6,"2013 6","1000 MONROE ST NW"
"102","1000 NEW JERSEY AVE SE #1013",20003,389900,387900,"2","2","0","6/18/12",2012-06-18,2012,6,"2012 6","1000 NEW JERSEY AVE SE"
"103","1000 NEW JERSEY AVE SE #1016",20003,339508,339508,"1","1","0","8/5/14",2014-08-05,2014,8,"2014 8","1000 NEW JERSEY AVE SE"
"104","1000 NEW JERSEY AVE SE #1020",20003,465000,465000,"2","2","0","2/18/15",2015-02-18,2015,2,"2015 2","1000 NEW JERSEY AVE SE"
"105","1000 NEW JERSEY AVE SE #1024",20003,339000,339000,"1","1","0","11/10/14",2014-11-10,2014,11,"2014 11","1000 NEW JERSEY AVE SE"
"106","1000 NEW JERSEY AVE SE #103",20003,339000,337500,"1","1","0","12/3/14",2014-12-03,2014,12,"2014 12","1000 NEW JERSEY AVE SE"
"107","1000 NEW JERSEY AVE SE #1103",20003,334000,320000,"1","1","0","4/16/15",2015-04-16,2015,4,"2015 4","1000 NEW JERSEY AVE SE"
"108","1000 NEW JERSEY AVE SE #1108",20003,667000,667000,"3","2","0","6/30/15",2015-06-30,2015,6,"2015 6","1000 NEW JERSEY AVE SE"
"109","1000 NEW JERSEY AVE SE #1109",20003,549900,565000,"3","2","0","4/20/12",2012-04-20,2012,4,"2012 4","1000 NEW JERSEY AVE SE"
"110","1000 NEW JERSEY AVE SE #1109",20003,694000,650000,"3","2","0","9/30/14",2014-09-30,2014,9,"2014 9","1000 NEW JERSEY AVE SE"
"111","1000 NEW JERSEY AVE SE #1114",20003,339900,339900,"1","1","0","6/17/14",2014-06-17,2014,6,"2014 6","1000 NEW JERSEY AVE SE"
"112","1000 NEW JERSEY AVE SE #1201",20003,329900,315000,"1","1","0","1/15/14",2014-01-15,2014,1,"2014 1","1000 NEW JERSEY AVE SE"
"113","1000 NEW JERSEY AVE SE #1207",20003,439508,405000,"2","2","0","9/12/14",2014-09-12,2014,9,"2014 9","1000 NEW JERSEY AVE SE"
"114","1000 NEW JERSEY AVE SE #1221",20003,169900,167400,"0","1","0","4/12/13",2013-04-12,2013,4,"2013 4","1000 NEW JERSEY AVE SE"
"115","1000 NEW JERSEY AVE SE #1221",20003,249908,250000,"0","1","0","4/16/15",2015-04-16,2015,4,"2015 4","1000 NEW JERSEY AVE SE"
"116","1000 NEW JERSEY AVE SE #1221",20003,259555,215000,"0","1","0","1/3/14",2014-01-03,2014,1,"2014 1","1000 NEW JERSEY AVE SE"
"117","1000 NEW JERSEY AVE SE #209",20003,339000,334500,"1","1","0","12/15/14",2014-12-15,2014,12,"2014 12","1000 NEW JERSEY AVE SE"
"118","1000 NEW JERSEY AVE SE #212",20003,450000,450000,"2","2","0","10/30/14",2014-10-30,2014,10,"2014 10","1000 NEW JERSEY AVE SE"
"119","1000 NEW JERSEY AVE SE #219",20003,420000,420000,"2","2","0","7/23/15",2015-07-23,2015,7,"2015 7","1000 NEW JERSEY AVE SE"
"120","1000 NEW JERSEY AVE SE #223",20003,390000,390000,"2","2","0","7/30/14",2014-07-30,2014,7,"2014 7","1000 NEW JERSEY AVE SE"
"121","1000 NEW JERSEY AVE SE #224",20003,349900,349900,"1","1","0","6/20/14",2014-06-20,2014,6,"2014 6","1000 NEW JERSEY AVE SE"
"122","1000 NEW JERSEY AVE SE #302",20003,369508,4e+05,"2","1","0","5/8/14",2014-05-08,2014,5,"2014 5","1000 NEW JERSEY AVE SE"
"123","1000 NEW JERSEY AVE SE #306",20003,419999,416000,"2","2","0","12/17/13",2013-12-17,2013,12,"2013 12","1000 NEW JERSEY AVE SE"
"124","1000 NEW JERSEY AVE SE #326",20003,314900,311000,"1","1","0","10/10/14",2014-10-10,2014,10,"2014 10","1000 NEW JERSEY AVE SE"
"125","1000 NEW JERSEY AVE SE #328",20003,399500,399500,"2","1","0","8/20/15",2015-08-20,2015,8,"2015 8","1000 NEW JERSEY AVE SE"
"126","1000 NEW JERSEY AVE SE #404",20003,339000,340000,"1","1","0","5/28/14",2014-05-28,2014,5,"2014 5","1000 NEW JERSEY AVE SE"
"127","1000 NEW JERSEY AVE SE #409",20003,329508,330000,"1","1","0","9/5/14",2014-09-05,2014,9,"2014 9","1000 NEW JERSEY AVE SE"
"128","1000 NEW JERSEY AVE SE #502",20003,389900,390000,"2","1","0","2/21/14",2014-02-21,2014,2,"2014 2","1000 NEW JERSEY AVE SE"
"129","1000 NEW JERSEY AVE SE #521",20003,339500,333500,"1","1","0","7/17/15",2015-07-17,2015,7,"2015 7","1000 NEW JERSEY AVE SE"
"130","1000 NEW JERSEY AVE SE #525",20003,240000,235000,"0","1","0","7/16/15",2015-07-16,2015,7,"2015 7","1000 NEW JERSEY AVE SE"
"131","1000 NEW JERSEY AVE SE #528",20003,399000,399000,"2","1","0","1/22/15",2015-01-22,2015,1,"2015 1","1000 NEW JERSEY AVE SE"
"132","1000 NEW JERSEY AVE SE #610",20003,315000,310000,"1","1","0","1/27/15",2015-01-27,2015,1,"2015 1","1000 NEW JERSEY AVE SE"
"133","1000 NEW JERSEY AVE SE #612",20003,455508,455508,"2","2","0","8/20/14",2014-08-20,2014,8,"2014 8","1000 NEW JERSEY AVE SE"
"134","1000 NEW JERSEY AVE SE #621",20003,294900,295000,"1","1","0","8/17/12",2012-08-17,2012,8,"2012 8","1000 NEW JERSEY AVE SE"
"135","1000 NEW JERSEY AVE SE #624",20003,339000,325000,"1","1","0","4/18/14",2014-04-18,2014,4,"2014 4","1000 NEW JERSEY AVE SE"
"136","1000 NEW JERSEY AVE SE #627",20003,244900,242900,"1","1","0","9/14/11",2011-09-14,2011,9,"2011 9","1000 NEW JERSEY AVE SE"
"137","1000 NEW JERSEY AVE SE #701",20003,349701,343500,"1","1","0","11/22/13",2013-11-22,2013,11,"2013 11","1000 NEW JERSEY AVE SE"
"138","1000 NEW JERSEY AVE SE #705",20003,329500,344900,"1","1","0","2/14/14",2014-02-14,2014,2,"2014 2","1000 NEW JERSEY AVE SE"
"139","1000 NEW JERSEY AVE SE #719",20003,380000,380000,"2","2","0","2/25/14",2014-02-25,2014,2,"2014 2","1000 NEW JERSEY AVE SE"
"140","1000 NEW JERSEY AVE SE #720",20003,455508,448750,"2","2","0","6/18/14",2014-06-18,2014,6,"2014 6","1000 NEW JERSEY AVE SE"
"141","1000 NEW JERSEY AVE SE #724",20003,339000,334000,"1","1","0","4/30/15",2015-04-30,2015,4,"2015 4","1000 NEW JERSEY AVE SE"
"142","1000 NEW JERSEY AVE SE #802",20003,385000,380000,"2","1","0","7/8/14",2014-07-08,2014,7,"2014 7","1000 NEW JERSEY AVE SE"
"143","1000 NEW JERSEY AVE SE #808",20003,320000,352500,"1","1","0","5/22/14",2014-05-22,2014,5,"2014 5","1000 NEW JERSEY AVE SE"
"144","1000 NEW JERSEY AVE SE #816",20003,259900,254000,"1","1","0","1/4/12",2012-01-04,2012,1,"2012 1","1000 NEW JERSEY AVE SE"
"145","1000 NEW JERSEY AVE SE #820",20003,369900,405000,"2","2","0","5/7/12",2012-05-07,2012,5,"2012 5","1000 NEW JERSEY AVE SE"
"146","1000 NEW JERSEY AVE SE #824",20003,319000,314000,"1","1","0","6/20/14",2014-06-20,2014,6,"2014 6","1000 NEW JERSEY AVE SE"
"147","1000 NEW JERSEY AVE SE #904",20003,334900,328000,"1","1","0","4/7/15",2015-04-07,2015,4,"2015 4","1000 NEW JERSEY AVE SE"
"148","1000 NEW JERSEY AVE SE #907",20003,259999,260000,"1","1","0","6/5/13",2013-06-05,2013,6,"2013 6","1000 NEW JERSEY AVE SE"
"149","1000 NEW JERSEY AVE SE #912",20003,387000,390000,"2","2","0","5/15/13",2013-05-15,2013,5,"2013 5","1000 NEW JERSEY AVE SE"
"150","1000 NEW JERSEY AVE SE #914",20003,389900,404900,"2","2","0","6/30/11",2011-06-30,2011,6,"2011 6","1000 NEW JERSEY AVE SE"
"151","1000 NEW JERSEY AVE SE #916",20003,249900,244900,"1","1","0","2/20/12",2012-02-20,2012,2,"2012 2","1000 NEW JERSEY AVE SE"
"152","1000 NEW JERSEY AVE SE #916",20003,325508,325508,"1","1","0","6/12/15",2015-06-12,2015,6,"2015 6","1000 NEW JERSEY AVE SE"
"153","1000 NEW JERSEY AVE SE #917",20003,330000,330000,"1","1","0","8/1/14",2014-08-01,2014,8,"2014 8","1000 NEW JERSEY AVE SE"
"154","1000 NEW JERSEY AVE SE #919",20003,439000,458500,"2","2","0","10/21/14",2014-10-21,2014,10,"2014 10","1000 NEW JERSEY AVE SE"
"155","1000 NEW JERSEY AVE SE #920",20003,379900,379900,"2","2","0","8/17/12",2012-08-17,2012,8,"2012 8","1000 NEW JERSEY AVE SE"
"156","1000 NEW JERSEY AVE SE #929",20003,319508,327258,"1","1","0","6/13/14",2014-06-13,2014,6,"2014 6","1000 NEW JERSEY AVE SE"
"157","1000 NEW JERSEY AVE SE #PH02",20003,391400,381400,"2","1","0","6/23/11",2011-06-23,2011,6,"2011 6","1000 NEW JERSEY AVE SE"
"158","1000 NEW JERSEY AVE SE #PH04",20003,339508,337000,"1","1","0","3/6/15",2015-03-06,2015,3,"2015 3","1000 NEW JERSEY AVE SE"
"159","1000 NEW JERSEY AVE SE #PH06",20003,499900,534000,"3","2","0","1/11/12",2012-01-11,2012,1,"2012 1","1000 NEW JERSEY AVE SE"
"160","1000 NEW JERSEY AVE SE #PH08",20003,449900,469900,"3","2","0","8/17/12",2012-08-17,2012,8,"2012 8","1000 NEW JERSEY AVE SE"
"161","1000 NEW JERSEY AVE SE #PH11",20003,334508,335000,"1","1","0","7/8/15",2015-07-08,2015,7,"2015 7","1000 NEW JERSEY AVE SE"
"162","1000 NEW JERSEY AVE SE #PH12",20003,324900,324900,"1","1","0","7/2/15",2015-07-02,2015,7,"2015 7","1000 NEW JERSEY AVE SE"
"163","1000 NEW JERSEY AVE SE #PH21",20003,179900,175000,"0","1","0","2/24/12",2012-02-24,2012,2,"2012 2","1000 NEW JERSEY AVE SE"
"164","1000 NEW JERSEY AVE SE #PH22",20003,360000,360000,"1","1","0","3/17/15",2015-03-17,2015,3,"2015 3","1000 NEW JERSEY AVE SE"
"165","1000 NEW JERSEY AVENUE SE #PH09",20003,540000,540000,"3","2","0","3/7/12",2012-03-07,2012,3,"2012 3","1000 NEW JERSEY AVENUE SE"
"166","1000 PENNSYLVANIA AVE SE",20003,1195000,1025000,"7","3","1","1/3/12",2012-01-03,2012,1,"2012 1","1000 PENNSYLVANIA AVE SE"
"167","1000 RITTENHOUSE ST NW #22",20011,299000,294500,"2","2","1","9/30/15",2015-09-30,2015,9,"2015 9","1000 RITTENHOUSE ST NW"
"168","1000 TAYLOR ST NE",20017,495000,490000,"5","3","0","6/24/11",2011-06-24,2011,6,"2011 6","1000 TAYLOR ST NE"
"169","1001 18TH ST NE",20002,699500,665000,"10","4","0","5/8/15",2015-05-08,2015,5,"2015 5","1001 18TH ST NE"
"170","1001 EAST CAPITOL ST SE",20003,669000,669000,"2","2","0","1/6/15",2015-01-06,2015,1,"2015 1","1001 EAST CAPITOL ST SE"
"171","1001 EAST CAPITOL ST SE #1",20003,495000,495000,"2","2","0","7/29/11",2011-07-29,2011,7,"2011 7","1001 EAST CAPITOL ST SE"
"172","1001 HAMILTON ST NE",20011,315000,315000,"3","1","1","9/26/13",2013-09-26,2013,9,"2013 9","1001 HAMILTON ST NE"
"173","1001 IRVING ST NE",20017,799900,760000,"4","3","1","1/11/13",2013-01-11,2013,1,"2013 1","1001 IRVING ST NE"
"174","1001 L ST NW #201",20001,440000,462000,"2","1","1","6/14/12",2012-06-14,2012,6,"2012 6","1001 L ST NW"
"175","1001 L ST NW #203",20001,525000,507500,"2","2","0","4/30/13",2013-04-30,2013,4,"2013 4","1001 L ST NW"
"176","1001 L ST NW #205",20001,499000,483000,"2","2","0","10/26/12",2012-10-26,2012,10,"2012 10","1001 L ST NW"
"177","1001 L ST NW #306",20001,540000,535000,"1","1","0","8/19/15",2015-08-19,2015,8,"2015 8","1001 L ST NW"
"178","1001 L ST NW #405",20001,440000,440000,"1","2","0","5/8/13",2013-05-08,2013,5,"2013 5","1001 L ST NW"
"179","1001 L ST NW #406",20001,515000,515000,"2","1","0","8/8/14",2014-08-08,2014,8,"2014 8","1001 L ST NW"
"180","1001 L ST NW #410",20001,425000,425000,"1","1","0","6/10/14",2014-06-10,2014,6,"2014 6","1001 L ST NW"
"181","1001 L ST NW #411",20001,379000,377500,"1","1","0","5/5/11",2011-05-05,2011,5,"2011 5","1001 L ST NW"
"182","1001 L ST NW #504",20001,498750,520000,"2","2","0","5/3/13",2013-05-03,2013,5,"2013 5","1001 L ST NW"
"183","1001 L ST NW #601",20001,519900,519000,"2","1","1","11/30/12",2012-11-30,2012,11,"2012 11","1001 L ST NW"
"184","1001 L ST NW #605",20001,490000,490000,"2","2","0","2/10/12",2012-02-10,2012,2,"2012 2","1001 L ST NW"
"185","1001 L ST NW #607",20001,409900,395000,"1","1","0","7/23/12",2012-07-23,2012,7,"2012 7","1001 L ST NW"
"186","1001 L ST NW #609",20001,479000,470000,"1","1","0","1/10/14",2014-01-10,2014,1,"2014 1","1001 L ST NW"
"187","1001 L ST NW #611",20001,379500,395500,"1","1","0","2/28/13",2013-02-28,2013,2,"2013 2","1001 L ST NW"
"188","1001 L ST NW #702",20001,699900,699900,"2","2","0","8/27/13",2013-08-27,2013,8,"2013 8","1001 L ST NW"
"189","1001 L ST NW #707",20001,485000,475000,"1","1","0","3/26/15",2015-03-26,2015,3,"2015 3","1001 L ST NW"
"190","1001 L ST NW #710",20001,424900,437000,"1","1","0","12/26/13",2013-12-26,2013,12,"2013 12","1001 L ST NW"
