listing_id,date
1048410,2015-05-15
1048410,2015-05-20
1048410,2015-05-31
1048410,2015-06-25
1048410,2015-07-02
1048410,2015-07-10
1048410,2015-07-12
1048410,2015-07-15
1048410,2015-07-22
1048410,2015-07-25
1048410,2015-07-29
1048410,2015-08-09
1048410,2015-08-11
1048410,2015-08-20
1048410,2015-08-22
1048410,2015-08-30
1048410,2015-09-16
1048410,2015-09-21
1048410,2015-09-24
1048410,2015-09-27
1048410,2015-10-04
1048410,2015-10-13
1048410,2015-10-15
1048410,2015-10-19
1048410,2015-11-02
1048410,2015-11-06
1048410,2015-11-08
1048410,2015-11-19
1048410,2015-11-23
1048410,2016-05-06
1048410,2016-05-08
1048410,2016-05-12
1048410,2016-05-15
1048410,2016-05-18
1048410,2016-05-24
1048410,2016-06-13
1048410,2016-06-26
1048410,2016-07-10
1048410,2016-07-19
1048410,2016-07-30
1048410,2016-08-14
1048410,2016-08-19
1048410,2016-09-11
1048410,2016-09-18
1048410,2016-09-21
1048410,2016-09-26
15409293,2016-10-19
15409293,2016-10-23
15409293,2016-10-29
15409293,2016-10-31
15409293,2016-11-11
15409293,2016-11-13
15409293,2016-11-15
15409293,2016-11-23
15409293,2016-12-04
15409293,2016-12-11
15409293,2017-01-12
15409293,2017-01-22
15409293,2017-02-04
15409293,2017-02-12
15409293,2017-02-19
15409293,2017-02-23
15409293,2017-03-03
15409293,2017-03-09
15409293,2017-03-12
15409293,2017-03-15
15409293,2017-03-17
15409293,2017-03-20
15409293,2017-03-23
15409293,2017-03-28
15409293,2017-03-31
15409293,2017-04-05
15409293,2017-04-10
15409293,2017-04-20
15409293,2017-04-22
188807,2012-07-07
188807,2013-12-10
188807,2014-04-09
188807,2015-05-19
188807,2015-05-21
188807,2015-05-24
188807,2015-05-28
188807,2015-05-29
188807,2015-06-06
188807,2015-06-10
188807,2015-06-11
188807,2015-06-14
188807,2015-07-01
188807,2015-07-03
188807,2015-07-04
188807,2015-07-06
188807,2015-07-08
188807,2015-07-17
188807,2015-07-24
188807,2015-07-26
188807,2015-08-03
188807,2015-08-04
188807,2015-08-08
188807,2015-08-19
188807,2015-09-03
188807,2016-03-13
188807,2016-03-20
188807,2016-03-24
188807,2016-03-31
188807,2016-04-08
188807,2016-04-26
188807,2016-05-01
188807,2016-05-12
188807,2016-05-15
188807,2016-05-26
188807,2016-05-30
188807,2016-06-05
188807,2016-07-01
188807,2016-07-06
188807,2016-07-17
188807,2016-08-04
188807,2016-08-11
188807,2016-08-18
188807,2016-09-16
188807,2016-09-17
188807,2016-09-18
188807,2016-10-13
188807,2016-11-12
15470047,2016-11-06
15470047,2016-11-08
15470047,2016-11-10
15470047,2017-04-05
15470047,2017-04-13
15470047,2017-04-17
15470047,2017-04-23
15470047,2017-04-27
15470047,2017-04-30
1806966,2016-10-22
1806966,2016-10-29
1806966,2016-11-14
1806966,2017-04-03
16620513,2017-01-22
16620513,2017-04-11
18104476,2017-04-18
176369,2011-08-28
176369,2011-10-08
176369,2011-10-10
176369,2011-10-17
176369,2011-10-21
176369,2011-10-24
176369,2011-10-29
176369,2011-11-10
176369,2011-11-15
176369,2011-11-20
176369,2011-11-24
176369,2011-12-10
176369,2011-12-16
176369,2011-12-30
176369,2012-04-15
176369,2012-04-22
176369,2012-04-28
176369,2012-05-16
176369,2012-05-20
176369,2012-06-16
176369,2012-06-23
176369,2012-07-17
176369,2012-07-19
176369,2012-07-30
176369,2012-08-05
176369,2012-08-31
176369,2012-09-30
176369,2012-10-03
176369,2012-10-06
176369,2012-10-09
176369,2012-10-13
176369,2012-10-15
176369,2012-10-26
176369,2012-11-17
176369,2012-11-27
176369,2013-03-17
176369,2013-03-24
176369,2013-04-30
176369,2013-06-06
176369,2013-06-15
176369,2013-06-26
176369,2013-07-10
176369,2013-09-06
176369,2013-09-13
176369,2013-11-23
176369,2013-12-14
176369,2013-12-25
176369,2014-05-05
176369,2014-05-19
176369,2014-05-25
176369,2014-07-12
176369,2014-07-19
176369,2014-11-27
176369,2014-12-01
176369,2015-01-05
176369,2015-04-12
176369,2015-06-13
176369,2015-12-14
176369,2015-12-21
176369,2016-02-09
176369,2016-02-21
176369,2016-03-05
176369,2016-06-05
176369,2016-07-17
176369,2016-08-03
176369,2017-03-23
14237630,2016-08-12
14237630,2017-01-21
14237630,2017-01-22
13683673,2016-11-22
13683673,2016-12-30
13683673,2017-01-02
13683673,2017-01-21
14982550,2016-10-23
14982550,2016-10-30
14982550,2016-11-12
14982550,2016-12-10
14982550,2017-03-13
14982550,2017-03-31
14982550,2017-04-25
14982550,2017-04-29
14982550,2017-05-06
15419112,2016-10-20
15419112,2016-10-24
15419112,2016-10-30
15419112,2016-11-04
15419112,2016-11-15
15419112,2016-12-17
15419112,2017-01-03
15419112,2017-01-17
15419112,2017-01-21
15419112,2017-02-12
15419112,2017-02-18
15419112,2017-02-20
15419112,2017-03-15
15419112,2017-03-19
15419112,2017-03-26
15419112,2017-04-01
15419112,2017-04-05
15419112,2017-04-15
15419112,2017-04-23
15419112,2017-05-02
15377706,2016-10-08
15377706,2016-10-10
15377706,2016-10-22
15377706,2016-10-24
15377706,2016-11-01
15377706,2016-11-05
15377706,2016-11-08
15377706,2016-11-16
15377706,2016-11-19
15377706,2016-12-02
15377706,2017-01-14
15377706,2017-01-21
15377706,2017-01-22
15377706,2017-01-25
15377706,2017-02-07
15377706,2017-02-26
15377706,2017-03-03
15377706,2017-03-10
15377706,2017-04-06
15377706,2017-04-14
15377706,2017-04-22
15377706,2017-04-29
15377706,2017-05-06
11903424,2016-03-28
11903424,2016-04-01
11903424,2016-04-09
11903424,2016-04-11
11903424,2016-04-13
11903424,2016-04-23
11903424,2016-04-27
11903424,2016-05-02
11903424,2016-05-04
11903424,2016-05-05
11903424,2016-05-11
11903424,2016-05-13
11903424,2016-05-18
11903424,2016-05-20
11903424,2016-05-23
11903424,2016-05-25
11903424,2016-05-26
11903424,2016-05-30
11903424,2016-05-30
11903424,2016-06-02
11903424,2016-06-03
11903424,2016-06-04
11903424,2016-06-11
11903424,2016-06-12
11903424,2016-06-16
11903424,2016-06-25
11903424,2016-06-26
11903424,2016-07-02
11903424,2016-07-09
11903424,2016-07-11
11903424,2016-07-15
11903424,2016-07-17
11903424,2016-07-19
11903424,2016-07-24
11903424,2016-07-24
11903424,2016-07-27
11903424,2016-08-05
11903424,2016-08-06
11903424,2016-08-07
11903424,2016-08-08
11903424,2016-08-11
11903424,2016-08-19
11903424,2016-08-20
11903424,2016-08-22
11903424,2016-08-23
11903424,2016-08-26
11903424,2016-08-28
11903424,2016-09-05
11903424,2016-09-11
11903424,2016-10-02
11903424,2016-10-05
11903424,2016-10-13
11903424,2016-10-16
11903424,2016-10-21
11903424,2016-10-25
11903424,2016-10-26
11903424,2016-10-29
11903424,2016-10-30
11903424,2016-10-31
11903424,2016-11-03
11903424,2016-11-04
11903424,2016-11-05
11903424,2016-11-10
11903424,2016-11-11
11903424,2016-11-12
11903424,2016-11-13
11903424,2016-11-15
11903424,2016-11-19
11903424,2016-11-23
11903424,2016-11-27
11903424,2016-12-01
11903424,2016-12-05
11903424,2016-12-08
11903424,2016-12-10
11903424,2016-12-14
11903424,2016-12-15
11903424,2016-12-20
11903424,2016-12-24
11903424,2016-12-26
11903424,2016-12-28
11903424,2016-12-29
11903424,2017-01-01
11903424,2017-01-02
11903424,2017-01-03
11903424,2017-01-06
11903424,2017-01-08
11903424,2017-01-11
11903424,2017-01-18
11903424,2017-01-19
11903424,2017-01-20
11903424,2017-01-22
11903424,2017-01-26
11903424,2017-01-27
11903424,2017-01-31
11903424,2017-02-02
11903424,2017-02-05
11903424,2017-02-08
11903424,2017-02-11
11903424,2017-02-13
11903424,2017-02-16
11903424,2017-02-21
11903424,2017-02-26
11903424,2017-02-28
11903424,2017-03-01
11903424,2017-03-04
11903424,2017-03-05
11903424,2017-03-06
11903424,2017-03-09
11903424,2017-03-12
11903424,2017-03-15
11903424,2017-03-18
11903424,2017-03-21
11903424,2017-03-23
11903424,2017-03-28
11903424,2017-03-30
11903424,2017-03-31
11903424,2017-04-01
11903424,2017-04-02
11903424,2017-04-05
11903424,2017-04-09
11903424,2017-04-10
11903424,2017-04-12
11903424,2017-04-18
11903424,2017-04-19
11903424,2017-04-21
11903424,2017-04-22
11903424,2017-04-23
11903424,2017-04-24
11903424,2017-04-28
11903424,2017-05-01
11903424,2017-05-04
14964080,2016-09-12
14964080,2016-09-16
14964080,2016-09-18
14964080,2016-09-28
14964080,2016-10-01
14964080,2016-10-22
14964080,2016-10-27
14964080,2016-10-30
14964080,2016-11-07
14964080,2016-11-15
14964080,2016-11-17
14964080,2017-01-03
14964080,2017-01-09
14964080,2017-01-20
14964080,2017-01-29
14964080,2017-02-10
14964080,2017-02-14
14964080,2017-02-19
14964080,2017-03-04
14964080,2017-03-06
14964080,2017-03-07
14964080,2017-03-12
14964080,2017-03-19
14964080,2017-03-23
14964080,2017-03-30
14964080,2017-03-31
14964080,2017-04-07
14964080,2017-04-09
14964080,2017-04-13
14964080,2017-04-16
14964080,2017-04-24
14964080,2017-04-26
14964080,2017-04-30
11228489,2016-03-08
11228489,2016-10-05
4055607,2014-10-14
4055607,2014-10-20
4055607,2014-10-28
4055607,2014-11-10
4055607,2014-11-17
4055607,2014-11-18
4055607,2014-11-19
4055607,2014-12-01
4055607,2015-01-13
4055607,2015-02-15
4055607,2015-03-16
4055607,2015-03-24
4055607,2015-03-26
4055607,2015-03-31
4055607,2015-04-06
4055607,2015-04-13
4055607,2015-04-22
4055607,2015-05-04
4055607,2015-05-06
4055607,2015-05-07
4055607,2015-05-12
4055607,2015-05-16
4055607,2015-05-18
4055607,2015-05-20
4055607,2015-05-28
4055607,2015-06-02
4055607,2015-06-09
4055607,2015-06-13
4055607,2015-06-25
4055607,2015-06-26
4055607,2015-07-06
4055607,2015-07-10
4055607,2015-07-13
4055607,2015-07-16
4055607,2015-07-22
4055607,2015-07-26
4055607,2015-07-30
4055607,2015-08-11
4055607,2015-08-12
4055607,2015-08-17
4055607,2015-08-24
4055607,2015-08-27
4055607,2015-08-28
4055607,2015-08-29
4055607,2015-09-01
4055607,2015-09-24
4055607,2015-10-01
4055607,2015-10-08
4055607,2015-10-14
4055607,2015-10-19
4055607,2015-10-29
4055607,2015-11-08
4055607,2015-11-12
4055607,2015-11-28
4055607,2015-12-04
4055607,2015-12-07
4055607,2015-12-19
4055607,2015-12-25
4055607,2016-01-20
4055607,2016-02-09
4055607,2016-02-27
4055607,2016-03-08
4055607,2016-03-09
4055607,2016-03-10
4055607,2016-03-13
4055607,2016-03-17
4055607,2016-03-18
4055607,2016-03-28
4055607,2016-04-05
4055607,2016-04-16
4055607,2016-04-22
4055607,2016-05-02
4055607,2016-05-11
4055607,2016-05-19
4055607,2016-05-21
4055607,2016-05-23
4055607,2016-05-24
4055607,2016-05-30
4055607,2016-06-15
4055607,2016-06-23
4055607,2016-06-29
4055607,2016-07-01
4055607,2016-07-05
4055607,2016-07-07
4055607,2016-07-18
4055607,2016-07-22
4055607,2016-07-30
4055607,2016-07-31
4055607,2016-08-21
4055607,2016-08-24
4055607,2016-09-12
4055607,2016-09-13
4055607,2016-09-15
4055607,2016-09-18
4055607,2016-09-22
4055607,2016-09-26
4055607,2016-10-05
4055607,2016-10-07
4055607,2016-10-09
4055607,2016-10-10
4055607,2016-10-11
4055607,2016-10-14
4055607,2016-10-15
4055607,2016-10-22
4055607,2016-10-23
4055607,2016-10-26
4055607,2016-10-27
4055607,2016-10-30
4055607,2016-11-06
4055607,2016-11-08
4055607,2016-11-11
4055607,2016-11-13
4055607,2016-11-16
4055607,2016-11-17
4055607,2016-11-20
4055607,2016-12-02
4055607,2016-12-03
4055607,2016-12-07
4055607,2016-12-16
4055607,2017-01-09
4055607,2017-01-21
4055607,2017-02-02
4055607,2017-02-20
4055607,2017-02-22
4055607,2017-02-25
4055607,2017-03-01
4055607,2017-03-09
4055607,2017-03-11
4055607,2017-03-17
4055607,2017-03-19
4055607,2017-03-22
4055607,2017-03-28
4055607,2017-04-02
4055607,2017-04-09
4055607,2017-04-11
4055607,2017-04-13
4055607,2017-04-16
4055607,2017-04-20
4055607,2017-04-23
4055607,2017-04-27
4055607,2017-05-03
17402766,2017-03-17
17402766,2017-04-14
16644766,2017-03-17
4034147,2014-10-15
4034147,2014-10-19
4034147,2014-10-23
4034147,2014-10-26
4034147,2014-11-16
4034147,2014-11-19
4034147,2014-11-21
4034147,2014-12-07
4034147,2014-12-29
4034147,2015-02-15
4034147,2015-03-25
4034147,2015-04-18
4034147,2015-06-23
4034147,2015-09-03
4034147,2015-09-16
4034147,2015-09-20
4034147,2015-09-28
4034147,2015-10-10
4034147,2015-11-20
4034147,2016-07-08
4034147,2016-07-13
4034147,2016-07-21
4034147,2016-08-24
4034147,2016-08-27
4034147,2016-10-23
4034147,2017-02-06
16782117,2017-01-20
16782117,2017-01-22
16782117,2017-02-02
16782117,2017-02-05
16782117,2017-02-09
16782117,2017-02-10
16782117,2017-02-20
16782117,2017-02-25
16782117,2017-03-02
16782117,2017-03-06
16782117,2017-03-07
16782117,2017-03-13
16782117,2017-03-15
16782117,2017-03-19
16782117,2017-03-24
16782117,2017-03-26
16782117,2017-03-28
16782117,2017-04-10
16782117,2017-04-16
16782117,2017-04-23
16782117,2017-04-30
9156290,2016-02-05
9156290,2016-02-11
9156290,2016-02-15
9156290,2016-02-21
9156290,2016-03-02
9156290,2016-03-06
9156290,2016-03-10
9156290,2016-03-13
9156290,2016-03-16
9156290,2016-03-19
9156290,2016-03-22
9156290,2016-03-24
9156290,2016-03-31
9156290,2016-04-12
