ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
339,"1215 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1215 Geranium St NW, WASHINGTON, DC, 20012","-77.0282,38.97941",76221700,R
1414,"17 S ST NW, Washington, DC, 20001",Match,Exact,"17 S St NW, WASHINGTON, DC, 20001","-77.00966,38.914093",76224655,R
1419,"1700 CRESTWOOD DR NW, Washington, DC, 20011",Match,Exact,"1700 Crestwood Dr NW, WASHINGTON, DC, 20011","-77.03929,38.939594",76222407,L
3284,"411 D ST SE, Washington, DC, 20003",Match,Exact,"411 D St SE, WASHINGTON, DC, 20003","-77.00043,38.884254",76230584,R
3479,"4401 MACARTHUR BLVD NW, Washington, DC, 20007",Match,Exact,"4401 Macarthur Blvd NW, WASHINGTON, DC, 20007","-77.08158,38.9069",76242746,R
944,"1423 D ST NE, Washington, DC, 20002",Match,Exact,"1423 D St NE, WASHINGTON, DC, 20002","-76.984505,38.894768",76230440,R
949,"1425 ALLISON ST NW, Washington, DC, 20011",Match,Exact,"1425 Allison St NW, WASHINGTON, DC, 20011","-77.03321,38.945076",76222442,R
334,"1214 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1214 Geranium St NW, WASHINGTON, DC, 20012","-77.0282,38.97938",76221700,L
3279,"4109 PARKGLEN CT NW, Washington, DC, 20007",Match,Exact,"4109 Parkglen Ct NW, WASHINGTON, DC, 20007","-77.07884,38.91705",76235364,R
534,"1304 G ST NE, Washington, DC, 20002",Match,Exact,"1304 G St NE, WASHINGTON, DC, 20002","-76.988174,38.898922",76237013,L
3484,"4403 KANSAS AVE NW, Washington, DC, 20011",Match,Exact,"4403 Kansas Ave NW, WASHINGTON, DC, 20011","-77.024254,38.94411",76223501,R
2954,"3516 MASSACHUSETTS AVE NW, Washington, DC, 20007",Match,Exact,"3516 Massachusetts Ave NW, WASHINGTON, DC, 20007","-77.068665,38.9253",76220936,L
749,"1349 C ST NE, Washington, DC, 20002",Match,Exact,"1349 C St NE, WASHINGTON, DC, 20002","-76.98628,38.893562",76230351,R
539,"1306 CAROLINA AVE SE, Washington, DC, 20003",Match,Non_Exact,"1306 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.987915,38.88607",76230855,L
2959,"3519 ALTON PL NW, Washington, DC, 20008",Match,Exact,"3519 Alton Pl NW, WASHINGTON, DC, 20008","-77.06754,38.9471",76220551,R
1824,"2009 GALES ST NE, Washington, DC, 20002",Match,Exact,"2009 Gales St NE, WASHINGTON, DC, 20002","-76.97566,38.89739",76231330,R
744,"1347 TEWKESBURY PL NW, Washington, DC, 20012",Match,Exact,"1347 Tewkesbury Pl NW, WASHINGTON, DC, 20012","-77.03145,38.968285",76221651,R
1829,"2010 5TH ST NW, Washington, DC, 20001",Match,Exact,"2010 5th St NW, WASHINGTON, DC, 20001","-77.01875,38.91693",76224436,L
349,"1218 18TH ST NE, Washington, DC, 20002",Match,Exact,"1218 18th St NE, WASHINGTON, DC, 20002","-76.978065,38.905933",76231230,L
1424,"1702 1ST ST NW, Washington, DC, 20001",Match,Exact,"1702 1st St NW, WASHINGTON, DC, 20001","-77.01218,38.912643",76224656,L
3489,"4406 14TH ST NW, Washington, DC, 20011",Match,Exact,"4406 14th St NW, WASHINGTON, DC, 20011","-77.032745,38.944107",76222460,L
3294,"4116 12TH ST NE, Washington, DC, 20017",Match,Exact,"4116 12th St NE, WASHINGTON, DC, 20017","-76.99025,38.94027",76228321,L
934,"1421 DOWNING ST NE, Washington, DC, 20018",Match,Exact,"1421 Downing St NE, WASHINGTON, DC, 20018","-76.98436,38.921513",76228969,R
1429,"1704 LANIER PL NW, Washington, DC, 20009",Match,Exact,"1704 Lanier Pl NW, WASHINGTON, DC, 20009","-77.040474,38.925518",76222887,L
344,"1216 QUINCY ST NW, Washington, DC, 20011",Match,Exact,"1216 Quincy St NW, WASHINGTON, DC, 20011","-77.02768,38.93759",632575853,L
3299,"412 DOUGLAS ST NE, Washington, DC, 20017",Match,Exact,"412 Douglas St NE, WASHINGTON, DC, 20017","-77.00041,38.923454",76228583,L
939,"1422 E ST NE, Washington, DC, 20002",Match,Exact,"1422 E St NE, WASHINGTON, DC, 20002","-76.98444,38.896122",76230435,L
734,"1345 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1345 Euclid St NW, WASHINGTON, DC, 20009","-77.030815,38.92378",76223146,R
929,"1420 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1420 Orren St NE, WASHINGTON, DC, 20002","-76.98465,38.904163",76230218,L
3289,"4113 CONNECTICUT AVE NW, Washington, DC, 20008",Match,Exact,"4113 Connecticut Ave NW, WASHINGTON, DC, 20008","-77.062355,38.942204",76220748,R
544,"1306 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1306 Sheridan St NW, WASHINGTON, DC, 20011","-77.03008,38.96612",76221643,L
739,"1346 W ST NE, Washington, DC, 20018",Match,Exact,"1346 W St NE, WASHINGTON, DC, 20018","-76.98501,38.919186",76228983,L
2944,"3505 30TH ST NW, Washington, DC, 20008",Match,Exact,"3505 30th St NW, WASHINGTON, DC, 20008","-77.061066,38.935936",76221148,R
3494,"441 11TH ST NE, Washington, DC, 20002",Match,Exact,"441 11th St NE, WASHINGTON, DC, 20002","-76.991516,38.89534",76230295,R
4,"1 RHODE ISLAND AVE NE, Washington, DC, 20002",Match,Exact,"1 Rhode Island Ave NE, WASHINGTON, DC, 20002","-77.009,38.916813",76224685,R
1814,"200 10TH ST SE, Washington, DC, 20003",Match,Exact,"200 10th St SE, WASHINGTON, DC, 20003","-76.99263,38.887516",76230066,L
9,"1000 D ST SE, Washington, DC, 20003",Match,Exact,"1000 D St SE, WASHINGTON, DC, 20003","-76.99259,38.884117",76230696,L
549,"1307 KEARNEY ST NE, Washington, DC, 20017",Match,Exact,"1307 Kearney St NE, WASHINGTON, DC, 20017","-76.98828,38.93068",76228764,R
1819,"2003 GALES ST NE, Washington, DC, 20002",Match,Exact,"2003 Gales St NE, WASHINGTON, DC, 20002","-76.975746,38.897404",76231330,R
2949,"3507 10TH ST NE, Washington, DC, 20018",Match,Non_Exact,"3507 10th St NE, WASHINGTON, DC, 20017","-76.992615,38.932564",76228502,R
1434,"1707 SURREY LN NW, Washington, DC, 20007",Match,Exact,"1707 Surrey Ln NW, WASHINGTON, DC, 20007","-77.08302,38.910805",76224768,R
319,"1211 V ST NW, Washington, DC, 20009",Match,Exact,"1211 V St NW, WASHINGTON, DC, 20009","-77.02881,38.918125",623776610,R
314,"1211 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1211 Euclid St NW, WASHINGTON, DC, 20009","-77.02885,38.923775",76224238,R
3499,"4410 W ST NW, Washington, DC, 20007",Match,Exact,"4410 W St NW, WASHINGTON, DC, 20007","-77.086716,38.91916",76220180,L
924,"1419 SPRING RD NW, Washington, DC, 20010",Match,Exact,"1419 Spring Rd NW, WASHINGTON, DC, 20010","-77.0339,38.9374",76222924,R
1439,"1708 SWANN ST NW, Washington, DC, 20009",Match,Exact,"1708 Swann St NW, WASHINGTON, DC, 20009","-77.039154,38.914696",76223100,L
2974,"3531 R ST NW, Washington, DC, 20007",Match,Exact,"3531 R St NW, WASHINGTON, DC, 20007","-77.069885,38.91366",76221079,R
1844,"2018 EVARTS ST NE, Washington, DC, 20018",Match,Exact,"2018 Evarts St NE, WASHINGTON, DC, 20018","-76.97586,38.924522",76229334,L
729,"1344 HAMLIN ST NE, Washington, DC, 20017",Match,Exact,"1344 Hamlin St NE, WASHINGTON, DC, 20017","-76.987236,38.927788",76228774,L
919,"1418 MONTAGUE ST NW, Washington, DC, 20011",Match,Exact,"1418 Montague St NW, WASHINGTON, DC, 20011","-77.03381,38.959274",76222287,L
