ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
2840,"2242 12TH PL NW, Washington, DC, 20009",Match,Exact,"2242 12th Pl NW, WASHINGTON, DC, 20009","-77.02885,38.920124",76224251,L
2211,"1812 S ST SE, Washington, DC, 20020",Match,Exact,"1812 S St SE, WASHINGTON, DC, 20020","-76.978745,38.868248",76231728,L
824,"1319 FLORIDA AVE NW, Washington, DC, 20009",Match,Exact,"1319 Florida Ave NW, WASHINGTON, DC, 20009","-77.03017,38.92042",76224248,R
215,"1115 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1115 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.991295,38.885147",76230830,R
5256,"4331 CATHEDRAL AVE NW, Washington, DC, 20016",Match,Exact,"4331 Cathedral Ave NW, WASHINGTON, DC, 20016","-77.085205,38.93029",76234707,R
6369,"5217 CHILLUM PL NE, Washington, DC, 20011",Match,Exact,"5217 Chillum Pl NE, WASHINGTON, DC, 20011","-76.9939,38.955475",76228088,R
6379,"522 RIGGS RD NE, Washington, DC, 20011",Match,Exact,"522 Riggs Rd NE, WASHINGTON, DC, 20011","-76.999855,38.960365",76228016,L
1703,"1608 VARNUM ST NW, Washington, DC, 20011",Match,Exact,"1608 Varnum St NW, WASHINGTON, DC, 20011","-77.03672,38.942924",76222398,L
174,"1106 OATES ST NE, Washington, DC, 20002",Match,Exact,"1106 Oates St NE, WASHINGTON, DC, 20002","-76.99017,38.9063",76230073,L
621,"125 D ST SE, Washington, DC, 20003",Match,Exact,"125 D St SE, WASHINGTON, DC, 20003","-77.00485,38.885048",76227155,R
5249,"433 12TH ST SE, Washington, DC, 20003",Match,Exact,"433 12th St SE, WASHINGTON, DC, 20003","-76.990265,38.88302",635190437,R
6747,"5612 EASTERN AVE NE, Washington, DC, 20011",Match,Exact,"5612 Eastern Ave NE, WASHINGTON, DC, 20011","-76.992226,38.95769",76243849,L
7230,"6401 31ST ST NW, Washington, DC, 20015",Match,Exact,"6401 31st St NW, WASHINGTON, DC, 20015","-77.057755,38.974525",76219378,R
2832,"2238 39TH PL NW, Washington, DC, 20007",Match,Exact,"2238 39th Pl NW, WASHINGTON, DC, 20007","-77.077934,38.91951",76220960,L
414,"1211 34TH PL SE, Washington, DC, 20019",Match,Exact,"1211 34th Pl SE, WASHINGTON, DC, 20019","-76.956375,38.875786",76232013,R
628,"1252 EVARTS ST NE, Washington, DC, 20018",Match,Exact,"1252 Evarts St NE, WASHINGTON, DC, 20018","-76.98913,38.924473",76228921,L
5240,"4325 EMBASSY PARK DR NW, Washington, DC, 20016",Match,Exact,"4325 Embassy Park Dr NW, WASHINGTON, DC, 20016","-77.08423,38.933987",76235144,L
222,"1118 RHODE ISLAND AVE NW, Washington, DC, 20005",Match,Exact,"1118 Rhode Island Ave NW, WASHINGTON, DC, 20005","-77.02726,38.910458",76226071,L
815,"1317 NAYLOR CT NW, Washington, DC, 20001",Match,Exact,"1317 Naylor Ct NW, WASHINGTON, DC, 20001","-77.02511,38.908417",624365150,L
1304,"143 11TH ST NE, Washington, DC, 20002",Match,Exact,"143 11th St NE, WASHINGTON, DC, 20002","-76.991516,38.89058",76237019,R
426,"1213 DUNCAN PL NE, Washington, DC, 20002",Match,Exact,"1213 Duncan Pl NE, WASHINGTON, DC, 20002","-76.98994,38.89542",76230301,R
6386,"5223 2ND ST NW, Washington, DC, 20011",Match,Exact,"5223 2nd St NW, WASHINGTON, DC, 20011","-77.013504,38.953617",76223785,R
612,"1247 UNDERWOOD ST NW, Washington, DC, 20012",Match,Exact,"1247 Underwood St NW, WASHINGTON, DC, 20012","-77.02845,38.968994",76221836,R
185,"1109 ABBEY PL NE, Washington, DC, 20002",Match,Exact,"1109 Abbey Pl NE, WASHINGTON, DC, 20002","-77.00128,38.903965",76229709,R
6758,"5624 MACARTHUR BLVD NW, Washington, DC, 20016",Match,Exact,"5624 Macarthur Blvd NW, WASHINGTON, DC, 20016","-77.10865,38.93218",76219096,L
808,"1316 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1316 Geranium St NW, WASHINGTON, DC, 20012","-77.03125,38.97938",76221561,L
2823,"2230 MASSACHUSETTS AVE NW, Washington, DC, 20008",Match,Exact,"2230 Massachusetts Ave NW, WASHINGTON, DC, 20008","-77.049286,38.91166",76225170,L
7220,"639 MORTON ST NW, Washington, DC, 20010",Match,Exact,"639 Morton St NW, WASHINGTON, DC, 20010","-77.02234,38.932175",76224144,R
117,"1034 CRITTENDEN ST NE, Washington, DC, 20017",Match,Exact,"1034 Crittenden St NE, WASHINGTON, DC, 20017","-76.990456,38.947304",76228268,L
5919,"4913 FOOTE ST NE, Washington, DC, 20019",Match,Exact,"4913 Foote St NE, WASHINGTON, DC, 20019","-76.931274,38.897022",76233547,R
6598,"5406 41ST ST NW, Washington, DC, 20015",Match,Exact,"5406 41st St NW, WASHINGTON, DC, 20015","-77.08033,38.9614",76239597,L
110,"1030 BURNS ST SE, Washington, DC, 20019",Match,Exact,"1030 Burns St SE, WASHINGTON, DC, 20019","-76.938385,38.873245",76237558,L
2254,"1819 KENYON ST NW, Washington, DC, 20010",Match,Exact,"1819 Kenyon St NW, WASHINGTON, DC, 20010","-77.0416,38.92971",76222867,R
3384,"2905 SHERMAN AVE NW, Washington, DC, 20001",Match,Exact,"2905 Sherman Ave NW, WASHINGTON, DC, 20001","-77.025955,38.927055",76224116,R
7454,"711 G ST SW, Washington, DC, 20024",Match,Exact,"711 G St SW, WASHINGTON, DC, 20024","-77.02211,38.881294",76239179,R
6591,"5401 HUNT PL NE, Washington, DC, 20019",Match,Exact,"5401 Hunt Pl NE, WASHINGTON, DC, 20019","-76.922775,38.900475",76233996,R
5910,"4910 4TH ST NW, Washington, DC, 20011",Match,Exact,"4910 4th St NW, WASHINGTON, DC, 20011","-77.01753,38.950165",76223428,L
845,"1321 NAYLOR CT NW, Washington, DC, 20001",Match,Exact,"1321 Naylor Ct NW, WASHINGTON, DC, 20001","-77.02511,38.908382",624365150,L
7252,"6419 BARNABY ST NW, Washington, DC, 20015",Match,Exact,"6419 Barnaby St NW, WASHINGTON, DC, 20015","-77.06442,38.97397",76219287,R
2899,"23 D ST SE, Washington, DC, 20003",Match,Exact,"23 D St SE, WASHINGTON, DC, 20003","-77.007866,38.885056",76227139,R
