ID,Address,Match,Match Detail,AddMatch,LongLat,N,LR
344,"120 10TH ST NE, Washington, DC, 20002",Match,Exact,"120 10th St NE, WASHINGTON, DC, 20002","-76.99267,38.891056",76241549,L
352,"1200 6TH ST NE, Washington, DC, 20002",Match,Exact,"1200 6th St NE, WASHINGTON, DC, 20002","-76.99846,38.905674",76229670,L
361,"1203 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1203 Staples St NE, WASHINGTON, DC, 20002","-76.985245,38.901882",76230222,R
369,"1205 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1205 Linden Pl NE, WASHINGTON, DC, 20002","-76.990074,38.89954",76230165,R
376,"1207 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1207 Orren St NE, WASHINGTON, DC, 20002","-76.98596,38.902233",76230151,R
387,"1209 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1209 Linden Pl NE, WASHINGTON, DC, 20002","-76.990005,38.89954",76230165,R
397,"121 34TH ST SE, Washington, DC, 20019",Match,Exact,"121 34th St SE, WASHINGTON, DC, 20019","-76.957535,38.887802",76231560,R
407,"1210 G ST NE, Washington, DC, 20002",Match,Exact,"1210 G St NE, WASHINGTON, DC, 20002","-76.98997,38.898922",76230311,L
416,"1211 C ST SE, Washington, DC, 20003",Match,Exact,"1211 C St SE, WASHINGTON, DC, 20003","-76.99002,38.88602",76240352,R
428,"1213 F ST NE, Washington, DC, 20002",Match,Exact,"1213 F St NE, WASHINGTON, DC, 20002","-76.989944,38.89734",76230315,R
435,"1214 5TH ST NE, Washington, DC, 20002",Match,Exact,"1214 5th St NE, WASHINGTON, DC, 20002","-76.99952,38.906216",76229668,L
442,"1215 HAMILTON ST NW, Washington, DC, 20011",Match,Exact,"1215 Hamilton St NW, WASHINGTON, DC, 20011","-77.027954,38.95292",76223287,R
452,"1216 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1216 Orren St NE, WASHINGTON, DC, 20002","-76.98594,38.90233",76230151,L
461,"1218 WALTER ST SE, Washington, DC, 20003",Match,Exact,"1218 Walter St SE, WASHINGTON, DC, 20003","-76.98983,38.88682",76230372,L
476,"1220 I ST NE, Washington, DC, 20002",Match,Exact,"1220 I St NE, WASHINGTON, DC, 20002","-76.98979,38.901333",76230155,L
485,"1221 S ST NW, Washington, DC, 20009",Match,Exact,"1221 S St NW, WASHINGTON, DC, 20009","-77.02844,38.91411",76224314,R
494,"1223 HAMILTON ST NW, Washington, DC, 20011",Match,Exact,"1223 Hamilton St NW, WASHINGTON, DC, 20011","-77.02811,38.95292",76223287,R
503,"1224 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1224 Orren St NE, WASHINGTON, DC, 20002","-76.985886,38.902397",76230151,L
510,"1226 FARRAGUT PL NE, Washington, DC, 20017",Match,Exact,"1226 Farragut Pl NE, WASHINGTON, DC, 20017","-76.98902,38.951645",76228244,L
518,"1227 I ST NE, Washington, DC, 20002",Match,Exact,"1227 I St NE, WASHINGTON, DC, 20002","-76.989685,38.901306",76230155,R
528,"1229 GALLATIN ST NE, Washington, DC, 20017",No_Match,,,"38.9521782,-76.990963",,
537,"1230 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1230 Linden Pl NE, WASHINGTON, DC, 20002","-76.98961,38.899563",76230165,L
544,"1233 CARROLLSBURG PL SW, Washington, DC, 20024",Match,Exact,"1233 Carrollsburg Pl SW, WASHINGTON, DC, 20024","-77.00992,38.87583",76227184,R
555,"1236 28TH ST NW, Washington, DC, 20007",Match,Exact,"1236 28th St NW, WASHINGTON, DC, 20007","-77.05707,38.90624",76225005,L
564,"1238 29TH ST NW, Washington, DC, 20007",Match,Exact,"1238 29th St NW, WASHINGTON, DC, 20007","-77.05814,38.906178",76224997,L
571,"1239 31ST ST NW, Washington, DC, 20007",No_Match,,,"38.9063182,-77.06313",,
