"","ShorterSales$Address","city","state","zip"
"124","1420 MORSE ST NE","Washington","DC",20002
"125","1420 TRINIDAD AVE NE","Washington","DC",20002
"126","1421 1ST ST NW","Washington","DC",20001
"127","1425 C ST NE","Washington","DC",20002
"128","1429 IVES PL SE","Washington","DC",20003
"129","1430 S ST SE","Washington","DC",20020
"130","1430 V ST SE","Washington","DC",20020
"131","1430 V ST SE","Washington","DC",20020
"132","1434 MONTANA AVE NE","Washington","DC",20018
"133","1466 OGDEN ST NW","Washington","DC",20010
"134","1476 HARVARD ST NW","Washington","DC",20009
"135","15 EVARTS ST NE","Washington","DC",20002
"136","15 Q ST NW","Washington","DC",20001
"137","1501 GALLATIN ST NW","Washington","DC",20011
"138","1503 CONSTITUTION AVE NE","Washington","DC",20002
"139","1506 SPRING PL NW","Washington","DC",20010
"140","1508 VARNUM ST NW","Washington","DC",20011
"141","1510 D ST NE","Washington","DC",20002
"142","1510 MONROE ST NE","Washington","DC",20017
"143","1512 VAN BUREN ST NW","Washington","DC",20012
"144","1513 4TH ST NW","Washington","DC",20001
"145","1514 NEW JERSEY AVE NW","Washington","DC",20001
"146","1516 1ST ST NW","Washington","DC",20001
"147","1516 23RD ST SE","Washington","DC",20020
"148","1516 HOWARD RD SE","Washington","DC",20020
"149","1521 29TH ST NW","Washington","DC",20007
"150","1523 1ST ST NW","Washington","DC",20001
"151","1524 3RD ST NW","Washington","DC",20001
"152","1524 HOWARD RD SE","Washington","DC",20020
"153","1524 SPRING PL NW","Washington","DC",20010
"154","1525 MARION ST NW","Washington","DC",20001
"155","1525 MONROE ST NW","Washington","DC",20010
"156","1528 GALES ST NE","Washington","DC",20002
"157","1530 15TH ST NW","Washington","DC",20005
"158","1533 EAST CAPITOL ST SE","Washington","DC",20003
"159","1535 5TH ST NW","Washington","DC",20001
"160","1535 NEWTON ST NE","Washington","DC",20017
"161","1536 FORT DAVIS ST SE","Washington","DC",20020
"162","1541 T ST NW","Washington","DC",20009
"163","1542 44TH ST NW","Washington","DC",20007
"164","1545 FORT DUPONT ST SE","Washington","DC",20020
"165","1608 LAWRENCE ST NE","Washington","DC",20018
"166","1608 TRINIDAD AVE NE","Washington","DC",20002
"167","1611 A ST NE","Washington","DC",20002
"168","1613 27TH ST SE","Washington","DC",20020
"169","1616 22ND ST NW","Washington","DC",20008
"170","1617 INDEPENDENCE AVE SE","Washington","DC",20003
"171","1617 NEW JERSEY AVE NW","Washington","DC",20001
"172","1617 WEBSTER ST NW","Washington","DC",20011
"173","1617 WEBSTER ST NW","Washington","DC",20011
"174","1618 F ST NE","Washington","DC",20002
"175","1621 33RD ST NW","Washington","DC",20007
"176","1629 ROSEDALE ST NE","Washington","DC",20002
"177","163 RHODE ISLAND AVE NE","Washington","DC",20002
"178","1630 5TH ST NW","Washington","DC",20001
"179","1633 W ST SE","Washington","DC",20020
"180","1637 LANG PL NE","Washington","DC",20002
"181","1644 L ST NE","Washington","DC",20002
"182","1645 31ST ST NW","Washington","DC",20007
"183","1647 MONTELLO AVE NE","Washington","DC",20002
"184","1654 GALES ST NE","Washington","DC",20002
"185","1661 MONTELLO AVE NE","Washington","DC",20002
"186","1667 GALES ST NE","Washington","DC",20002
"187","1669 GALES ST NE","Washington","DC",20002
"188","167 U ST NE","Washington","DC",20002
"189","1675 W ST SE","Washington","DC",20020
"190","170 TODD PL NE","Washington","DC",20002
"191","1702 MONTELLO AVE NE","Washington","DC",20002
"192","1705 IRVING ST NW","Washington","DC",20010
"193","1712 28TH ST SE","Washington","DC",20020
"194","1714 5TH ST NW","Washington","DC",20001
"195","1716 34TH ST NW","Washington","DC",20007
"196","1716 Q ST NW","Washington","DC",20009
"197","1717 EVARTS ST NE","Washington","DC",20018
"198","1718 22ND ST SE","Washington","DC",20020
"199","1721 MONROE ST NE","Washington","DC",20018
"200","1727 41ST PL SE","Washington","DC",20020
"201","1728 MONTELLO AVE NE","Washington","DC",20002
"202","1729 LANG PL NE","Washington","DC",20002
"203","1731 LYMAN PL NE","Washington","DC",20002
"204","1732 LYMAN PL NE","Washington","DC",20002
