"","ShorterSales$Address","city","state","zip"
"551","5038 JAY ST NE","Washington","DC",20019
"552","5046 12TH ST NE","Washington","DC",20017
"553","5055 JAY ST NE","Washington","DC",20019
"554","5061 JAY ST NE","Washington","DC",20019
"555","5085 SHERIFF RD NE","Washington","DC",20019
"556","509 SOMERSET PL NW","Washington","DC",20011
"557","51 FLORIDA AVE NW","Washington","DC",20001
"558","51 FRANKLIN ST NE","Washington","DC",20002
"559","5106 KANSAS AVE NW","Washington","DC",20011
"560","5106 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"561","5109 ILLINOIS AVE NW","Washington","DC",20011
"562","5113 ILLINOIS AVE NW","Washington","DC",20011
"563","5122 E ST SE","Washington","DC",20019
"564","513 G ST SW","Washington","DC",20024
"565","5219 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"566","522 21ST ST NE","Washington","DC",20002
"567","5223 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"568","5227 5TH ST NW","Washington","DC",20011
"569","5227 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"570","5232 7TH ST NW","Washington","DC",20011
"571","524 EDGEWOOD ST NE","Washington","DC",20017
"572","525 INGRAHAM ST NW","Washington","DC",20011
"573","525 PEABODY ST NE","Washington","DC",20011
"574","527 OGLETHORPE ST NW","Washington","DC",20011
"575","530 QUINTANA PL NW","Washington","DC",20011
"576","5303 5TH ST NW","Washington","DC",20011
"577","5311 5TH ST NW","Washington","DC",20011
"578","5314 7TH ST NW","Washington","DC",20011
"579","5316 KANSAS AVE NW","Washington","DC",20011
"580","5317 5TH ST NW","Washington","DC",20011
"581","5318 2ND ST NW","Washington","DC",20011
"582","5325 5TH ST NW","Washington","DC",20011
"583","5328 5TH ST NW","Washington","DC",20011
"584","5329 ILLINOIS AVE NW","Washington","DC",20011
"585","5335 ASTOR PL SE","Washington","DC",20019
"586","5344 41ST ST NW","Washington","DC",20015
"587","5348 CHILLUM PL NE","Washington","DC",20011
"588","535 23RD PL NE","Washington","DC",20002
"589","538 NEWTON PL NW","Washington","DC",20010
"590","5416 7TH ST NW","Washington","DC",20011
"591","5423 4TH ST NW","Washington","DC",20011
"592","5426 30TH ST NW","Washington","DC",20015
"593","5441 BASS PL SE","Washington","DC",20019
"594","5501 EADS ST NE","Washington","DC",20019
"595","5504 8TH ST NW","Washington","DC",20011
"596","5507 8TH ST NW","Washington","DC",20011
"597","5509 4TH ST NW","Washington","DC",20011
"598","5511 2ND ST NW","Washington","DC",20011
"599","5515 BLAIR RD NE","Washington","DC",20011
"600","5539 CENTRAL AVE SE","Washington","DC",20019
"601","5539 CENTRAL AVE SE","Washington","DC",20019
"602","560 INGRAHAM ST NE","Washington","DC",20011
"603","5610 5TH ST NW","Washington","DC",20011
"604","5614 EASTERN AVE NE","Washington","DC",20011
"605","5614 KANSAS AVE NW","Washington","DC",20011
"606","5619 COLORADO AVE NW","Washington","DC",20011
"607","564 48TH PL NE","Washington","DC",20019
"608","5703 2ND ST NE","Washington","DC",20011
"609","5712 3RD PL NW","Washington","DC",20011
"610","5713 5TH ST NE","Washington","DC",20011
"611","5720 6TH ST NW","Washington","DC",20011
"612","5728 3RD ST NW","Washington","DC",20011
"613","58 Q ST NE","Washington","DC",20002
"614","5801 4TH ST NW","Washington","DC",20011
"615","5804 4TH ST NW","Washington","DC",20011
"616","5804 8TH ST NW","Washington","DC",20011
"617","5812 5TH ST NW","Washington","DC",20011
"618","5814 5TH ST NW","Washington","DC",20011
"619","5901 8TH ST NE","Washington","DC",20011
"620","6 GIRARD ST NE","Washington","DC",20002
"621","60 HAWTHORNE CT NE","Washington","DC",20017
"622","6019 7TH PL NW","Washington","DC",20011
"623","602 21ST ST NE","Washington","DC",20002
"624","602 SHERIDAN ST NW","Washington","DC",20011
"625","604 COLUMBIA RD NW","Washington","DC",20001
"626","606 13TH ST NE","Washington","DC",20002
"627","606 KENSINGTON PL NE","Washington","DC",20011
"628","607 GALLATIN ST NW","Washington","DC",20011
"629","608 A ST NE","Washington","DC",20002
"630","608 G ST NE","Washington","DC",20002
"631","610 MORTON PL NE","Washington","DC",20002
"632","612 BRANDYWINE ST SE","Washington","DC",20032
"633","6126 BANKS PL NE","Washington","DC",20019
"634","614 11TH ST NE","Washington","DC",20002
"635","614 4TH ST NE","Washington","DC",20002
"636","614 MADISON ST NW","Washington","DC",20011
"637","614 ROXBORO PL NW","Washington","DC",20011
"638","615 11TH ST NE","Washington","DC",20002
"639","615 GRESHAM PL NW","Washington","DC",20001
"640","615 QUINTANA PL NW","Washington","DC",20011
"641","615 ROCK CREEK CHURCH RD NW","Washington","DC",20010
"642","617 POWHATAN PL NW","Washington","DC",20011
"643","619 IRVING ST NW","Washington","DC",20010
"644","621 HAMILTON ST NW","Washington","DC",20011
"645","622 9TH ST NE","Washington","DC",20002
"646","6227 4TH ST NW","Washington","DC",20011
"647","626 FRANKLIN ST NE","Washington","DC",20017
"648","628 MILWAUKEE PL SE","Washington","DC",20032
"649","63 NEW YORK AVE NW","Washington","DC",20001
"650","630 CHAPLIN ST SE","Washington","DC",20019
"651","630 QUEBEC PL NW","Washington","DC",20010
"652","6305 KANSAS AVE NE","Washington","DC",20011
"653","6306 7TH ST NW","Washington","DC",20011
"654","632 I ST NE","Washington","DC",20002
"655","635 20TH ST NE","Washington","DC",20002
"656","635 ATLANTIC ST SE","Washington","DC",20032
"657","635 CONSTITUTION AVE NE","Washington","DC",20002
"658","635 POWHATAN PL NW","Washington","DC",20011
"659","639 INGRAHAM ST NW","Washington","DC",20011
"660","640 CHESAPEAKE ST SE","Washington","DC",20032
"661","6400 9TH ST NW","Washington","DC",20012
"662","6407 9TH ST NW","Washington","DC",20012
"663","6409 16TH ST NW","Washington","DC",20012
"664","6409 7TH ST NW","Washington","DC",20012
"665","641 GALLATIN ST NW","Washington","DC",20011
"666","641 GALLATIN ST NW","Washington","DC",20011
"667","649 20TH ST NE","Washington","DC",20002
"668","650 MADISON ST NE","Washington","DC",20011
"669","6501 3RD ST NW","Washington","DC",20012
"670","6516 EASTERN AVE NE","Washington","DC",20012
"671","6522 7TH ST NW","Washington","DC",20012
"672","653 HAMILTON ST NW","Washington","DC",20011
"673","660 G ST NE","Washington","DC",20002
"674","662 BRANDYWINE ST SE","Washington","DC",20032
"675","6625 HARLAN PL NW","Washington","DC",20012
"676","6713 13TH PL NW","Washington","DC",20012
"677","6725 PINEY BRANCH RD NW","Washington","DC",20012
"678","6725 PINEY BRANCH RD NW","Washington","DC",20012
"679","6729 PINEY BRANCH RD NW","Washington","DC",20012
"680","6901 32ND ST NW","Washington","DC",20015
"681","704 K ST NE","Washington","DC",20002
"682","708 EMERSON ST NE","Washington","DC",20017
"683","709 SHERIDAN ST NW","Washington","DC",20011
"684","709 TUCKERMAN ST NW","Washington","DC",20011
"685","711 32ND ST SE","Washington","DC",20019
"686","711 KEARNY ST NE","Washington","DC",20017
"687","7110 ALASKA AVE NW","Washington","DC",20012
"688","7121 GEORGIA AVE NW","Washington","DC",20012
"689","7125 7TH ST NW","Washington","DC",20012
"690","715 SOMERSET PL NW","Washington","DC",20011
"691","716 DECATUR ST NW","Washington","DC",20011
"692","717 GIRARD ST NW","Washington","DC",20001
"693","717 TEWKESBURY PL NW","Washington","DC",20012
"694","718 55TH ST NE","Washington","DC",20019
"695","718 HAMILTON ST NW","Washington","DC",20011
"696","718 ROXBORO PL NW","Washington","DC",20011
"697","719 MADISON ST NW","Washington","DC",20011
"698","719 SOMERSET PL NW","Washington","DC",20011
"699","720 KENTUCKY AVE SE","Washington","DC",20003
"700","720 SHERIDAN ST NW","Washington","DC",20011
"701","723 MASSACHUSETTS AVE NE","Washington","DC",20002
"702","728 19TH ST NE","Washington","DC",20002
"703","728 FARRAGUT ST NW","Washington","DC",20011
"704","733 FARRAGUT ST NW","Washington","DC",20011
"705","733 HAMILTON ST NW","Washington","DC",20011
"706","735 NICHOLSON ST NE","Washington","DC",20011
"707","737 HILLTOP TER SE","Washington","DC",20019
"708","738 FARRAGUT ST NW","Washington","DC",20011
"709","741 CONGRESS ST SE","Washington","DC",20032
"710","743 JEFFERSON ST NE","Washington","DC",20011
"711","743 MADISON ST NW","Washington","DC",20011
"712","75 OBSERVATORY CIR NW","Washington","DC",20008
"713","751 PRINCETON PL NW","Washington","DC",20010
"714","7518 EASTERN AVE NW","Washington","DC",20012
"715","755 NICHOLSON ST NE","Washington","DC",20011
"716","756 HOBART PL NW","Washington","DC",20001
"717","762 MORTON ST NW","Washington","DC",20010
"718","77 V ST NW","Washington","DC",20001
"719","8 ADAMS ST NW","Washington","DC",20001
"720","804 I ST NE","Washington","DC",20002
"721","808 MARIETTA PL NW","Washington","DC",20011
"722","809 48TH PL NE","Washington","DC",20019
"723","81 P ST NW","Washington","DC",20001
"724","810 DELAFIELD PL NW","Washington","DC",20011
"725","810 SOMERSET PL NW","Washington","DC",20011
"726","8126 WEST BEACH DR NW","Washington","DC",20012
"727","814 BUCHANAN ST NW","Washington","DC",20011
"728","814 EMERSON ST NW","Washington","DC",20011
"729","816 DELAFIELD PL NW","Washington","DC",20011
"730","817 TUCKERMAN ST NW","Washington","DC",20011
"731","819 52ND ST NE","Washington","DC",20019
"732","819 E ST SE","Washington","DC",20003
"733","82 TUCKERMAN ST NW","Washington","DC",20011
"734","820 CRITTENDEN ST NE","Washington","DC",20017
"735","821 JEFFERSON ST NE","Washington","DC",20011
"736","822 20TH ST NE","Washington","DC",20002
"737","822 EMERSON ST NW","Washington","DC",20011
"738","824 OTIS PL NW","Washington","DC",20010
"739","827 INGRAHAM ST NW","Washington","DC",20011
"740","827 RANDOLPH ST NW","Washington","DC",20011
"741","828 JEFFERSON ST NE","Washington","DC",20011
"742","829 11TH ST NE","Washington","DC",20002
"743","829 HILLTOP TER SE","Washington","DC",20019
"744","831 XENIA ST SE","Washington","DC",20032
"745","832 50TH PL NE","Washington","DC",20019
"746","832 5TH ST NE","Washington","DC",20002
"747","832 DIVISION AVE NE","Washington","DC",20019
"748","832 YUMA ST SE","Washington","DC",20032
"749","834 21ST ST NE","Washington","DC",20002
"750","834 MADISON ST NW","Washington","DC",20011
"751","834 XENIA ST SE","Washington","DC",20032
"752","840 JEFFERSON ST NE","Washington","DC",20011
"753","843 XENIA ST SE","Washington","DC",20032
"754","845 50TH PL NE","Washington","DC",20019
"755","853 51ST ST NE","Washington","DC",20019
"756","859 VENABLE PL NW","Washington","DC",20012
"757","9 U ST NW","Washington","DC",20001
"758","902 MADISON ST NW","Washington","DC",20011
"759","904 DELAFIELD PL NW","Washington","DC",20011
"760","905 QUACKENBOS ST NW","Washington","DC",20011
"761","906 11TH ST NE","Washington","DC",20002
"762","906 ALLISON ST NW","Washington","DC",20011
"763","914 SHERIDAN ST NW","Washington","DC",20011
"764","915 9TH ST NE","Washington","DC",20002
"765","917 MARYLAND AVE NE","Washington","DC",20002
"766","918 46TH ST NE","Washington","DC",20019
"767","930 LONGFELLOW ST NW","Washington","DC",20011
"768","11 S ST NW","Washington","DC",20001
"769","1151 MORSE ST NE","Washington","DC",20002
"770","117 T ST NW","Washington","DC",20001
"771","12 RHODE ISLAND AVE NE","Washington","DC",20002
"772","1227 MORSE ST NE","Washington","DC",20002
"773","1241 SHEPHERD ST NW","Washington","DC",20011
"774","127 QUINCY PL NE","Washington","DC",20002
"775","1321 21ST ST NW","Washington","DC",20036
"776","1322 MONROE ST NW","Washington","DC",20010
"777","1325 TAYLOR ST NW","Washington","DC",20011
"778","1337 SPRING RD NW","Washington","DC",20010
"779","1391 FLORIDA AVE NE","Washington","DC",20002
"780","1422 EUCLID ST NW","Washington","DC",20009
"781","1459 S ST NW","Washington","DC",20009
"782","1513 OAK ST NW","Washington","DC",20010
"783","1519 1ST ST NW","Washington","DC",20001
"784","1523 3RD ST NW","Washington","DC",20001
"785","1606 5TH ST NW","Washington","DC",20001
"786","1636 MASSACHUSETTS AVE SE","Washington","DC",20003
"787","1653 NEW JERSEY AVE NW","Washington","DC",20001
"788","1700 Q ST NW","Washington","DC",20009
"789","1732 BAY ST SE","Washington","DC",20003
"790","1738 PARK RD NW","Washington","DC",20010
"791","1815 MASSACHUSETTS AVE SE","Washington","DC",20003
"792","1924 1ST ST NW","Washington","DC",20001
"793","1924 1ST ST NW","Washington","DC",20001
"794","1929 19TH ST NW","Washington","DC",20009
"795","2026 NORTH CAPITOL ST NW","Washington","DC",20002
"796","2035 13TH ST NW","Washington","DC",20009
"797","22 RHODE ISLAND AVE NW","Washington","DC",20001
"798","222 BATES ST NW","Washington","DC",20001
"799","224 R ST NE","Washington","DC",20002
"800","23 TODD PL NE","Washington","DC",20002
"801","2311 1ST ST NW","Washington","DC",20001
"802","2435 ONTARIO RD NW","Washington","DC",20009
"803","2532 11TH ST NW","Washington","DC",20001
"804","2616 GARFIELD ST NW","Washington","DC",20008
"805","27 N ST NW","Washington","DC",20001
"806","2723 13TH ST NW","Washington","DC",20009
"807","2725 13TH ST NW","Washington","DC",20009
"808","28 Q ST NE","Washington","DC",20002
"809","2825 11TH ST NW","Washington","DC",20001
"810","301 K ST NE","Washington","DC",20002
"811","3015 WARDER ST NW","Washington","DC",20001
"812","3320 NEW HAMPSHIRE AVE NW","Washington","DC",20010
"813","3467 HOLMEAD PL NW","Washington","DC",20010
"814","36 RHODE ISLAND AVE NE","Washington","DC",20002
"815","3602 16TH ST NW","Washington","DC",20010
"816","3619 14TH ST NW","Washington","DC",20010
"817","3813 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"818","3821 14TH ST NW","Washington","DC",20011
"819","39 U ST NE","Washington","DC",20002
"820","43 HANOVER PL NW","Washington","DC",20001
"821","432 EVARTS ST NE","Washington","DC",20017
"822","450 M ST NW","Washington","DC",20001
"823","513 JEFFERSON ST NW","Washington","DC",20011
"824","5310 CONNECTICUT AVE NW","Washington","DC",20015
"825","610 NEWTON PL NW","Washington","DC",20010
"826","622 ROCK CREEK CHURCH RD NW","Washington","DC",20010
"827","642 15TH ST NE","Washington","DC",20002
"828","714 VARNUM ST NW","Washington","DC",20011
"829","726 GIRARD ST NW","Washington","DC",20001
"830","728 GIRARD ST NW","Washington","DC",20001
"831","730 GIRARD ST NW","Washington","DC",20001
"832","732 GIRARD ST NW","Washington","DC",20001
"833","735 12TH ST SE","Washington","DC",20003
"834","737 IRVING ST NW","Washington","DC",20010
"835","801 9TH ST NE","Washington","DC",20002
