ID,Address,Match,MatchDetail,AddressMatch,LongLat,N,LR
1,"10 T ST NW, Washington, DC, 20001",Match,Exact,"10 T St NW, WASHINGTON, DC, 20001","-77.00944,38.91555",76224683,L
2,"100 ONEIDA ST NE, Washington, DC, 20011",Match,Exact,"100 Oneida St NE, WASHINGTON, DC, 20011","-77.00576,38.962044",76223840,L
3,"1002 COLUMBIA RD NW, Washington, DC, 20001",Match,Exact,"1002 Columbia Rd NW, WASHINGTON, DC, 20001","-77.026695,38.927765",76224114,L
4,"1003 EVARTS ST NE, Washington, DC, 20018",Match,Exact,"1003 Evarts St NE, WASHINGTON, DC, 20018","-76.9923,38.924286",76228908,R
5,"1003 HAMILTON ST NE, Washington, DC, 20011",Match,Exact,"1003 Hamilton St NE, WASHINGTON, DC, 20011","-76.99261,38.954514",76228104,R
6,"1004 UPSHUR ST NE, Washington, DC, 20017",Match,Exact,"1004 Upshur St NE, WASHINGTON, DC, 20017","-76.99248,38.94181",76228305,L
7,"1007 TAYLOR ST NE, Washington, DC, 20017",Match,Exact,"1007 Taylor St NE, WASHINGTON, DC, 20017","-76.992455,38.940712",76228214,R
8,"1008 10TH ST NE, Washington, DC, 20002",Match,Exact,"1008 10th St NE, WASHINGTON, DC, 20002","-76.99266,38.902935",76229793,L
9,"1008 FAIRMONT ST NW, Washington, DC, 20001",Match,Exact,"1008 Fairmont St NW, WASHINGTON, DC, 20001","-77.025826,38.92486",76224264,L
10,"1009 9TH ST NE, Washington, DC, 20002",Match,Exact,"1009 9th St NE, WASHINGTON, DC, 20002","-76.99374,38.902935",76229787,R
11,"1010 CRITTENDEN ST NE, Washington, DC, 20017",Match,Exact,"1010 Crittenden St NE, WASHINGTON, DC, 20017","-76.99083,38.947304",76228268,L
12,"1010 CRITTENDEN ST NE, Washington, DC, 20017",Match,Exact,"1010 Crittenden St NE, WASHINGTON, DC, 20017","-76.99083,38.947304",76228268,L
13,"1010 K ST NE, Washington, DC, 20002",Match,Exact,"1010 K St NE, WASHINGTON, DC, 20002","-76.992485,38.902527",76230121,L
14,"1013 DECATUR ST NE, Washington, DC, 20017",Match,Exact,"1013 Decatur St NE, WASHINGTON, DC, 20017","-76.99239,38.94825",76228256,R
15,"1014 BRYANT ST NE, Washington, DC, 20018",Match,Exact,"1014 Bryant St NE, WASHINGTON, DC, 20018","-76.99215,38.922344",76228674,L
16,"1016 QUEBEC PL NW, Washington, DC, 20010",Match,Exact,"1016 Quebec Pl NW, WASHINGTON, DC, 20010","-77.02744,38.93696",76224028,L
17,"1020 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1020 Florida Ave NE, WASHINGTON, DC, 20002","-76.99244,38.903725",76229795,L
18,"1022 TAUSSIG PL NE, Washington, DC, 20017",Match,Exact,"1022 Taussig Pl NE, WASHINGTON, DC, 20017","-76.992035,38.941277",76228308,L
19,"1025 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1025 Florida Ave NE, WASHINGTON, DC, 20002","-76.99234,38.903652",76229795,R
20,"1026 QUEBEC PL NW, Washington, DC, 20010",Match,Exact,"1026 Quebec Pl NW, WASHINGTON, DC, 20010","-77.02752,38.936954",76224028,L
21,"103 LONGFELLOW ST NW, Washington, DC, 20011",Match,Exact,"103 Longfellow St NW, WASHINGTON, DC, 20011","-77.01175,38.957676",76223743,R
22,"1033 7TH ST NE, Washington, DC, 20002",Match,Exact,"1033 7th St NE, WASHINGTON, DC, 20002","-76.99615,38.90293",76229760,R
23,"104 U ST NE, Washington, DC, 20002",Match,Exact,"104 U St NE, WASHINGTON, DC, 20002","-77.006294,38.917007",76224709,L
24,"1047 TAUSSIG PL NE, Washington, DC, 20017",Match,Exact,"1047 Taussig Pl NE, WASHINGTON, DC, 20017","-76.9915,38.94125",76228308,R
25,"106 VICTOR ST NE, Washington, DC, 20011",Match,Exact,"106 Victor St NE, WASHINGTON, DC, 20011","-77.005684,38.94359",76224011,L
26,"107 ROCK CREEK CHURCH RD NW, Washington, DC, 20011",Match,Exact,"107 Rock Creek Church Rd NW, WASHINGTON, DC, 20011","-77.01249,38.943165",76223970,R
27,"107 SEATON PL NW, Washington, DC, 20001",Match,Exact,"107 Seaton Pl NW, WASHINGTON, DC, 20001","-77.01239,38.91484",76224624,R
28,"1107 16TH ST NE, Washington, DC, 20002",Match,Exact,"1107 16th St NE, WASHINGTON, DC, 20002","-76.9815,38.90462",76230253,R
29,"1107 16TH ST NE, Washington, DC, 20002",Match,Exact,"1107 16th St NE, WASHINGTON, DC, 20002","-76.9815,38.90462",76230253,R
30,"1107 C ST NE, Washington, DC, 20002",Match,Exact,"1107 C St NE, WASHINGTON, DC, 20002","-76.9914,38.893566",76230305,R
31,"1109 I ST NE, Washington, DC, 20002",Match,Exact,"1109 I St NE, WASHINGTON, DC, 20002","-76.99137,38.901306",76230138,R
32,"1117 FAIRMONT ST NW, Washington, DC, 20009",Match,Exact,"1117 Fairmont St NW, WASHINGTON, DC, 20009","-77.02737,38.92477",76224236,R
33,"112 RITTENHOUSE ST NE, Washington, DC, 20011",Match,Exact,"112 Rittenhouse St NE, WASHINGTON, DC, 20011","-77.00644,38.965527",76222140,L
34,"1120 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1120 Geranium St NW, WASHINGTON, DC, 20012","-77.02679,38.979378",76221702,L
35,"1122 OATES ST NE, Washington, DC, 20002",Match,Exact,"1122 Oates St NE, WASHINGTON, DC, 20002","-76.98986,38.906166",76230073,L
36,"1125 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1125 Owen Pl NE, WASHINGTON, DC, 20002","-76.989365,38.906597",76230071,R
37,"113 WEBSTER ST NW, Washington, DC, 20011",Match,Exact,"113 Webster St NW, WASHINGTON, DC, 20011","-77.0129,38.944393",76223928,R
38,"1130 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1130 Neal St NE, WASHINGTON, DC, 20002","-76.990524,38.90526",76230120,L
