ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
338,"1215 4TH ST NW, Washington, DC, 20001",Match,Exact,"1215 4th St NW, WASHINGTON, DC, 20001","-77.01616,38.906242",76226479,R
1413,"17 Q ST NE, Washington, DC, 20002",Match,Exact,"17 Q St NE, WASHINGTON, DC, 20002","-77.00856,38.9111",76226581,R
1418,"1700 11TH ST NW, Washington, DC, 20001",Match,Exact,"1700 11th St NW, WASHINGTON, DC, 20001","-77.027054,38.912663",76224319,L
333,"1214 GALLATIN ST NW, Washington, DC, 20011",Match,Exact,"1214 Gallatin St NW, WASHINGTON, DC, 20011","-77.02783,38.95186",76223290,L
943,"1423 33RD ST NW, Washington, DC, 20007",Match,Exact,"1423 33rd St NW, WASHINGTON, DC, 20007","-77.066055,38.908047",76224874,R
3283,"411 D ST NE, Washington, DC, 20002",Match,Exact,"411 D St NE, WASHINGTON, DC, 20002","-77.00018,38.894775",76237003,R
3478,"4401 DEXTER ST NW, Washington, DC, 20007",Match,Exact,"4401 Dexter St NW, WASHINGTON, DC, 20007","-77.08659,38.924328",76220178,R
3288,"4112 13TH PL NE, Washington, DC, 20017",Match,Exact,"4112 13th Pl NE, WASHINGTON, DC, 20017","-76.98716,38.939827",76228360,L
948,"1424 T ST NW, Washington, DC, 20009",Match,Exact,"1424 T St NW, WASHINGTON, DC, 20009","-77.03296,38.915558",76223185,L
748,"1349 28TH ST NW, Washington, DC, 20007",Match,Exact,"1349 28th St NW, WASHINGTON, DC, 20007","-77.05705,38.907978",76225000,R
3278,"4109 17TH ST NW, Washington, DC, 20011",Match,Exact,"4109 17th St NW, WASHINGTON, DC, 20011","-77.03831,38.940945",76222400,R
3483,"4403 GREENWICH PKWY NW, Washington, DC, 20007",Match,Exact,"4403 Greenwich Pkwy NW, WASHINGTON, DC, 20007","-77.08156,38.91188",76224777,R
2953,"3515 ALTON PL NW, Washington, DC, 20008",Match,Exact,"3515 Alton Pl NW, WASHINGTON, DC, 20008","-77.06744,38.9471",76220551,R
533,"1304 C ST SE, Washington, DC, 20003",Match,Exact,"1304 C St SE, WASHINGTON, DC, 20003","-76.98791,38.88537",76230857,L
538,"1305 MONTELLO AVE NE, Washington, DC, 20002",Match,Exact,"1305 Montello Ave NE, WASHINGTON, DC, 20002","-76.98885,38.904633",76230130,R
1823,"2008 C ST NE, Washington, DC, 20002",Match,Exact,"2008 C St NE, WASHINGTON, DC, 20002","-76.97609,38.893314",76231348,R
2958,"3519 10TH ST NW, Washington, DC, 20010",Match,Exact,"3519 10th St NW, WASHINGTON, DC, 20010","-77.027466,38.933353",76224048,R
743,"1347 T ST NW, Washington, DC, 20009",Match,Exact,"1347 T St NW, WASHINGTON, DC, 20009","-77.03072,38.91559",76223207,R
1828,"2010 1ST ST NW, Washington, DC, 20001",Match,Exact,"2010 1st St NW, WASHINGTON, DC, 20001","-77.01217,38.91716",76224638,L
1423,"1701 POPLAR LN NW, Washington, DC, 20012",Match,Exact,"1701 Poplar Ln NW, WASHINGTON, DC, 20012","-77.039764,38.987328",76221467,R
1428,"1703 SEATON ST NW, Washington, DC, 20009",Match,Exact,"1703 Seaton St NW, WASHINGTON, DC, 20009","-77.03861,38.91758",76223071,R
933,"1421 D ST SE, Washington, DC, 20003",Match,Exact,"1421 D St SE, WASHINGTON, DC, 20003","-76.985085,38.88409",76230933,R
3293,"4115 3RD ST NW, Washington, DC, 20011",Match,Exact,"4115 3rd St NW, WASHINGTON, DC, 20011","-77.01535,38.941284",76223941,R
343,"1216 NORTH CAROLINA AVE NE, Washington, DC, 20002",Match,Exact,"1216 North Carolina Ave NE, WASHINGTON, DC, 20002","-76.9888,38.89044",76237037,L
3488,"4405 W ST NW, Washington, DC, 20007",Match,Exact,"4405 W St NW, WASHINGTON, DC, 20007","-77.086716,38.919186",76220180,R
3298,"412 10TH ST SE, Washington, DC, 20003",Match,Exact,"412 10th St SE, WASHINGTON, DC, 20003","-76.99263,38.883873",76230695,L
938,"1422 A ST NE, Washington, DC, 20002",Match,Exact,"1422 A St NE, WASHINGTON, DC, 20002","-76.98504,38.890945",76230491,L
348,"1217 HOLBROOK ST NE, Washington, DC, 20002",Match,Exact,"1217 Holbrook St NE, WASHINGTON, DC, 20002","-76.98442,38.901684",76230239,R
3,"1 GESSFORD CT SE, Washington, DC, 20003",Match,Exact,"1 Gessford Ct SE, WASHINGTON, DC, 20003","-76.99149,38.88669",624292090,L
3493,"4409 3RD ST NW, Washington, DC, 20011",Match,Exact,"4409 3rd St NW, WASHINGTON, DC, 20011","-77.0155,38.944435",76223923,R
543,"1306 RIGGS ST NW, Washington, DC, 20009",Match,Non_Exact,"1306 Riggs Pl NW, WASHINGTON, DC, 20009","-77.02987,38.913334",76223213,L
738,"1346 SPRING RD NW, Washington, DC, 20010",Match,Exact,"1346 Spring Rd NW, WASHINGTON, DC, 20010","-77.031235,38.936676",76222951,L
2943,"3503 15TH ST NE, Washington, DC, 20017",Match,Exact,"3503 15th St NE, WASHINGTON, DC, 20017","-76.98442,38.932938",76228794,R
548,"1307 HOLLY ST NW, Washington, DC, 20012",Match,Exact,"1307 Holly St NW, WASHINGTON, DC, 20012","-77.0308,38.980392",76221536,R
2948,"3507 10TH ST NE, Washington, DC, 20017",Match,Exact,"3507 10th St NE, WASHINGTON, DC, 20017","-76.992615,38.932564",76228502,R
1813,"20 K ST NW, Washington, DC, 20001",Match,Exact,"20 K St NW, WASHINGTON, DC, 20001","-77.010056,38.9025",76235837,L
8,"100 W ST NW, Washington, DC, 20001",Match,Exact,"100 W St NW, WASHINGTON, DC, 20001","-77.01222,38.919163",76224580,L
1818,"2002 KLINGLE RD NW, Washington, DC, 20010",Match,Exact,"2002 Klingle Rd NW, WASHINGTON, DC, 20010","-77.045555,38.93313",76222568,L
733,"1345 27TH ST NW, Washington, DC, 20007",Match,Exact,"1345 27th St NW, WASHINGTON, DC, 20007","-77.05581,38.9079",76225152,R
1433,"1706 MONTELLO AVE NE, Washington, DC, 20002",Match,Exact,"1706 Montello Ave NE, WASHINGTON, DC, 20002","-76.98575,38.909126",76230104,L
318,"1211 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1211 Staples St NE, WASHINGTON, DC, 20002","-76.9852,38.901947",76230222,R
928,"1420 HOLLY ST NW, Washington, DC, 20012",Match,Exact,"1420 Holly St NW, WASHINGTON, DC, 20012","-77.03383,38.98037",76221529,L
313,"1211 DECATUR ST NW, Washington, DC, 20011",Match,Exact,"1211 Decatur St NW, WASHINGTON, DC, 20011","-77.02733,38.948273",76223441,R
923,"1419 A ST SE, Washington, DC, 20003",Match,Exact,"1419 A St SE, WASHINGTON, DC, 20003","-76.98511,38.888657",76230404,R
3498,"4410 LINGAN RD NW, Washington, DC, 20007",Match,Exact,"4410 Lingan Rd NW, WASHINGTON, DC, 20007","-77.08206,38.907",76241559,R
1438,"1708 PORTAL DR NW, Washington, DC, 20012",Match,Exact,"1708 Portal Dr NW, WASHINGTON, DC, 20012","-77.04028,38.98865",76221460,L
1843,"2018 E ST NE, Washington, DC, 20002",Match,Exact,"2018 E St NE, WASHINGTON, DC, 20002","-76.97587,38.896126",76231362,L
513,"128 S ST NW, Washington, DC, 20001",Match,Exact,"128 S St NW, WASHINGTON, DC, 20001","-77.01277,38.914074",76224653,L
728,"1343 27TH ST NW, Washington, DC, 20007",Match,Exact,"1343 27th St NW, WASHINGTON, DC, 20007","-77.05581,38.90788",76225152,R
2973,"3530 SPRINGLAND LN NW, Washington, DC, 20008",No_Match,,,,,
918,"1418 JONQUIL ST NW, Washington, DC, 20012",Match,Exact,"1418 Jonquil St NW, WASHINGTON, DC, 20012","-77.0338,38.984135",76221499,L
723,"1342 K ST SE, Washington, DC, 20003",Match,Exact,"1342 K St SE, WASHINGTON, DC, 20003","-76.98709,38.87841",76230926,L
518,"129 U ST NE, Washington, DC, 20002",Match,Exact,"129 U St NE, WASHINGTON, DC, 20002","-77.0054,38.916985",76224709,R
2978,"3534 S ST NW, Washington, DC, 20007",Match,Exact,"3534 S St NW, WASHINGTON, DC, 20007","-77.069984,38.91454",76221077,L
1848,"2020 HILLYER PL NW, Washington, DC, 20009",Match,Exact,"2020 Hillyer Pl NW, WASHINGTON, DC, 20009","-77.04529,38.911854",76225271,L
1448,"1711 1ST ST NW, Washington, DC, 20001",Match,Exact,"1711 1st St NW, WASHINGTON, DC, 20001","-77.01214,38.912975",76224656,R
328,"1213 DECATUR ST NW, Washington, DC, 20011",Match,Exact,"1213 Decatur St NW, WASHINGTON, DC, 20011","-77.027374,38.948273",76223441,R
1443,"1709 SEATON ST NW, Washington, DC, 20009",Match,Exact,"1709 Seaton St NW, WASHINGTON, DC, 20009","-77.038734,38.91758",76223071,R
323,"1212 EAST CAPITOL ST NE, Washington, DC, 20002",Match,Exact,"1212 E Capitol St NE, WASHINGTON, DC, 20002","-76.98961,38.890392",76237033,L
913,"1417 G ST NE, Washington, DC, 20002",Match,Exact,"1417 G St NE, WASHINGTON, DC, 20002","-76.9849,38.898895",76230410,R
2963,"3520 MASSACHUSETTS AVE NW, Washington, DC, 20007",Match,Exact,"3520 Massachusetts Ave NW, WASHINGTON, DC, 20007","-77.068794,38.925392",76220932,L
718,"1341 27TH ST NW, Washington, DC, 20007",Match,Exact,"1341 27th St NW, WASHINGTON, DC, 20007","-77.05581,38.907856",76225152,R
523,"1300 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1300 Euclid St NW, WASHINGTON, DC, 20009","-77.02983,38.92375",76223146,L
1833,"2012 KALORAMA RD NW, Washington, DC, 20009",Match,Exact,"2012 Kalorama Rd NW, WASHINGTON, DC, 20009","-77.046455,38.91907",632575767,L
908,"1416 DUNCAN ST NE, Washington, DC, 20002",Match,Exact,"1416 Duncan St NE, WASHINGTON, DC, 20002","-76.98467,38.895412",76230341,L
713,"134 R ST NE, Washington, DC, 20002",Match,Exact,"134 R St NE, WASHINGTON, DC, 20002","-77.005295,38.912613",76228622,L
1838,"2016 3RD ST NE, Washington, DC, 20002",Match,Exact,"2016 3rd St NE, WASHINGTON, DC, 20002","-77.00205,38.917175",76228613,L
2968,"3524 RESERVOIR RD NW, Washington, DC, 20007",Match,Exact,"3524 Reservoir Rd NW, WASHINGTON, DC, 20007","-77.06974,38.91264",76221080,L
528,"1302 35TH ST NW, Washington, DC, 20007",Match,Exact,"1302 35th St NW, WASHINGTON, DC, 20007","-77.06902,38.906807",76224827,L
988,"1437 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1437 Euclid St NW, WASHINGTON, DC, 20009","-77.03359,38.923534",76223147,R
3243,"4046 MANSION DR NW, Washington, DC, 20007",Match,Exact,"4046 Mansion Dr NW, WASHINGTON, DC, 20007","-77.079185,38.916435",76239377,L
983,"1435 KENNEDY ST NW, Washington, DC, 20011",Match,Exact,"1435 Kennedy St NW, WASHINGTON, DC, 20011","-77.034035,38.95623",76222318,R
4963,"924 LONGFELLOW ST NW, Washington, DC, 20011",Match,Exact,"924 Longfellow St NW, WASHINGTON, DC, 20011","-77.02644,38.957314",76240214,L
4968,"926 14TH ST SE, Washington, DC, 20003",Match,Exact,"926 14th St SE, WASHINGTON, DC, 20003","-76.98549,38.87932",76230886,L
2103,"23 8TH ST NE, Washington, DC, 20002",Match,Exact,"23 8th St NE, WASHINGTON, DC, 20002","-76.99495,38.89009",76230017,R
703,"1337 VERMONT AVE NW, Washington, DC, 20005",Match,Exact,"1337 Vermont Ave NW, WASHINGTON, DC, 20005","-77.03071,38.907738",76225731,R
2993,"3548 WARDER ST NW, Washington, DC, 20010",Match,Exact,"3548 Warder St NW, WASHINGTON, DC, 20010","-77.02071,38.933598",76224142,L
573,"1311-/2 SO CAROLINA AVE SE, Washington, DC, 20003",No_Match,,,,,
578,"1312 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1312 Sheridan St NW, WASHINGTON, DC, 20011","-77.03029,38.966118",76221643,L
3238,"404 SEWARD SQ SE, Washington, DC, 20003",Match,Exact,"404 Seward Sq SE, WASHINGTON, DC, 20003","-77.000496,38.88651",76230574,L
2108,"2303 3RD ST NE, Washington, DC, 20002",Match,Exact,"2303 3rd St NE, WASHINGTON, DC, 20002","-77.002014,38.920307",76228574,R
