ID,Address,Match,MatchDetail,AddressMatch,LongLat,N,LR
2,"1 DERBY LN SE, Washington, DC, 20003",No_Match,,,"38.8848526,-76.9927012",,
9,"10 RANDLE CIR SE, Washington, DC, 20019",Match,Exact,"10 Randle Cir SE, WASHINGTON, DC, 20019","-76.96175,38.877632",76231949,L
17,"1002 BARNABY TER SE, Washington, DC, 20032",Match,Exact,"1002 Barnaby Ter SE, WASHINGTON, DC, 20032","-76.98986,38.83399",76236728,L
24,"1005 E ST SE, Washington, DC, 20003",Match,Exact,"1005 E St SE, WASHINGTON, DC, 20003","-76.992546,38.882713",76230839,R
31,"1007 K ST NE, Washington, DC, 20002",Match,Exact,"1007 K St NE, WASHINGTON, DC, 20002","-76.99252,38.9025",76230121,R
40,"101 56TH PL SE, Washington, DC, 20019",Match,Exact,"101 56th Pl SE, WASHINGTON, DC, 20019","-76.92037,38.88831",76234161,R
51,"1011 EAST CAPITOL ST SE, Washington, DC, 20003",Tie,,,"38.8895082,-76.9943177",,
58,"1013 C ST SE, Washington, DC, 20003",Match,Exact,"1013 C St SE, WASHINGTON, DC, 20003","-76.99247,38.88602",76230825,R
70,"1016 C ST SE, Washington, DC, 20003",Match,Exact,"1016 C St SE, WASHINGTON, DC, 20003","-76.992424,38.886047",76230825,L
79,"1019 4TH ST NE, Washington, DC, 20002",Match,Exact,"1019 4th St NE, WASHINGTON, DC, 20002","-77.00056,38.902775",76229713,R
86,"1020 7TH ST NE, Washington, DC, 20002",Match,Exact,"1020 7th St NE, WASHINGTON, DC, 20002","-76.996185,38.902798",76229760,L
93,"1022 FAIRMONT ST NW, Washington, DC, 20001",Match,Exact,"1022 Fairmont St NW, WASHINGTON, DC, 20001","-77.026,38.924843",76224264,L
102,"1025 CECIL PL NW, Washington, DC, 20007",Match,Exact,"1025 Cecil Pl NW, WASHINGTON, DC, 20007","-77.063896,38.903545",632618814,R
109,"103 8TH ST SE, Washington, DC, 20003",Match,Exact,"103 8th St SE, WASHINGTON, DC, 20003","-76.99498,38.888557",76230026,R
116,"1032 29TH ST NW, Washington, DC, 20007",Match,Exact,"1032 29th St NW, WASHINGTON, DC, 20007","-77.058075,38.903164",76225036,L
125,"104 7TH ST SE, Washington, DC, 20003",Match,Exact,"104 7th St SE, WASHINGTON, DC, 20003","-76.996155,38.88842",76230024,L
134,"1051 CRITTENDEN ST NE, Washington, DC, 20017",Match,Exact,"1051 Crittenden St NE, WASHINGTON, DC, 20017","-76.990395,38.947277",76228268,R
144,"1066 THOMAS JEFFERSON ST NW, Washington, DC, 20007",Match,Exact,"1066 Thomas Jefferson St NW, WASHINGTON, DC, 20007","-77.06018,38.905178",76225020,L
151,"108 14TH ST SE, Washington, DC, 20003",Match,Exact,"108 14th St SE, WASHINGTON, DC, 20003","-76.9855,38.888325",76230403,L
158,"11 10TH ST SE, Washington, DC, 20003",Match,Exact,"11 10th St SE, WASHINGTON, DC, 20003","-76.99266,38.889664",76230057,R
166,"110 LONGFELLOW ST NW, Washington, DC, 20011",Match,Exact,"110 Longfellow St NW, WASHINGTON, DC, 20011","-77.01204,38.95765",76223743,L
173,"1106 5TH ST NE, Washington, DC, 20002",Match,Exact,"1106 5th St NE, WASHINGTON, DC, 20002","-76.99953,38.90393",76229716,L
184,"1109 16TH ST NE, Washington, DC, 20002",Match,Exact,"1109 16th St NE, WASHINGTON, DC, 20002","-76.98144,38.904713",76230253,R
193,"1110 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1110 Orren St NE, WASHINGTON, DC, 20002","-76.986595,38.901382",76238000,L
200,"1112 51ST PL NE, Washington, DC, 20019",Match,Exact,"1112 51st Pl NE, WASHINGTON, DC, 20019","-76.92748,38.90489",76233955,L
207,"1114 45TH PL SE, Washington, DC, 20019",Match,Exact,"1114 45th Pl SE, WASHINGTON, DC, 20019","-76.9361,38.878277",76233840,L
214,"1115 PARK ST NE, Washington, DC, 20002",Match,Exact,"1115 Park St NE, WASHINGTON, DC, 20002","-76.9913,38.892788",76230355,R
221,"1118 K ST SE, Washington, DC, 20003",Match,Exact,"1118 K St SE, WASHINGTON, DC, 20003","-76.99126,38.878414",76230893,L
230,"112 SEATON PL NW, Washington, DC, 20001",Match,Exact,"112 Seaton Pl NW, WASHINGTON, DC, 20001","-77.01251,38.914814",76224624,L
238,"1121 3RD ST NE, Washington, DC, 20002",Match,Exact,"1121 3rd St NE, WASHINGTON, DC, 20002","-77.00202,38.90418",76229685,R
245,"1126 F ST NE, Washington, DC, 20002",Match,Exact,"1126 F St NE, WASHINGTON, DC, 20002","-76.99116,38.897346",76229986,L
252,"113 5TH ST NE, Washington, DC, 20002",Match,Exact,"113 5th St NE, WASHINGTON, DC, 20002","-76.9995,38.89111",76229914,R
261,"1131 45TH PL SE, Washington, DC, 20019",Match,Exact,"1131 45th Pl SE, WASHINGTON, DC, 20019","-76.93592,38.877953",76233840,R
270,"1135 3RD ST NE, Washington, DC, 20002",Match,Exact,"1135 3rd St NE, WASHINGTON, DC, 20002","-77.00202,38.904423",76229685,R
277,"1137 7TH ST NE, Washington, DC, 20002",No_Match,,,"38.9048302,-76.9980917",,
284,"114 4TH ST NE, Washington, DC, 20002",Match,Exact,"114 4th St NE, WASHINGTON, DC, 20002","-77.000595,38.89113",76229906,L
291,"1144 1ST ST NW, Washington, DC, 20001",Match,Exact,"1144 1st St NW, WASHINGTON, DC, 20001","-77.01219,38.904797",76237584,L
298,"1148 45TH PL SE, Washington, DC, 20019",Match,Exact,"1148 45th Pl SE, WASHINGTON, DC, 20019","-76.93566,38.877613",76233840,L
305,"115 WALTMAN PL NE, Washington, DC, 20011",No_Match,,,"38.9631855,-77.0080471",,
313,"116 53RD ST SE, Washington, DC, 20019",Match,Exact,"116 53rd St SE, WASHINGTON, DC, 20019","-76.92567,38.88684",76234077,L
323,"1172 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1172 Morse St NE, WASHINGTON, DC, 20002","-76.99032,38.903976",76229789,L
330,"119 48TH PL NE, Washington, DC, 20019",Match,Exact,"119 48th Pl NE, WASHINGTON, DC, 20019","-76.93388,38.890694",76233567,R
338,"12 FRANKLIN ST NE, Washington, DC, 20002",Match,Exact,"12 Franklin St NE, WASHINGTON, DC, 20002","-77.00876,38.925167",76224553,L
349,"120 THOMAS ST NW, Washington, DC, 20001",Match,Exact,"120 Thomas St NW, WASHINGTON, DC, 20001","-77.01269,38.916267",76224641,L
358,"1203 C ST SE, Washington, DC, 20003",Match,Exact,"1203 C St SE, WASHINGTON, DC, 20003","-76.99016,38.88602",76240352,R
366,"1205 EMERSON ST NW, Washington, DC, 20011",Match,Exact,"1205 Emerson St NW, WASHINGTON, DC, 20011","-77.02775,38.94975",76223434,R
373,"1207 CONGRESS ST SE, Washington, DC, 20032",Match,Exact,"1207 Congress St SE, WASHINGTON, DC, 20032","-76.98991,38.841503",76232505,R
384,"1208 GALLATIN ST NW, Washington, DC, 20011",Match,Exact,"1208 Gallatin St NW, WASHINGTON, DC, 20011","-77.02771,38.95186",76223290,L
393,"1209 V ST NW, Washington, DC, 20009",Match,Exact,"1209 V St NW, WASHINGTON, DC, 20009","-77.02867,38.918125",623776610,R
404,"121 WEBSTER ST NW, Washington, DC, 20011",Match,Exact,"121 Webster St NW, WASHINGTON, DC, 20011","-77.01303,38.94439",76223928,R
413,"1210 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1210 Shepherd St NW, WASHINGTON, DC, 20011","-77.027824,38.939728",76223515,L
425,"1213 29TH ST NW, Washington, DC, 20007",Match,Exact,"1213 29th St NW, WASHINGTON, DC, 20007","-77.0581,38.905785",76224999,R
432,"1213 W ST NW, Washington, DC, 20009",Match,Exact,"1213 W St NW, WASHINGTON, DC, 20009","-77.028625,38.919197",76224254,R
439,"1214 PARK RD NW, Washington, DC, 20010",Match,Exact,"1214 Park Rd NW, WASHINGTON, DC, 20010","-77.029076,38.931526",76224046,L
449,"1216 28TH ST NW, Washington, DC, 20007",Match,Exact,"1216 28th St NW, WASHINGTON, DC, 20007","-77.05705,38.905834",76225008,L
458,"1218 FAIRMONT ST NW, Washington, DC, 20009",Match,Exact,"1218 Fairmont St NW, WASHINGTON, DC, 20009","-77.02861,38.924736",76224236,L
469,"1219 GIRARD ST NW, Washington, DC, 20009",Match,Exact,"1219 Girard St NW, WASHINGTON, DC, 20009","-77.02861,38.925762",76224103,R
482,"1221 C ST SE, Washington, DC, 20003",Match,Exact,"1221 C St SE, WASHINGTON, DC, 20003","-76.98984,38.88602",76240352,R
491,"1222 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1222 Owen Pl NE, WASHINGTON, DC, 20002","-76.9872,38.905727",76230112,L
500,"1224 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1224 Euclid St NW, WASHINGTON, DC, 20009","-77.02849,38.923748",76224238,L
507,"1225 PERRY ST NE, Washington, DC, 20017",Match,Exact,"1225 Perry St NE, WASHINGTON, DC, 20017","-76.989815,38.936153",76228715,R
515,"1227 1ST ST NW, Washington, DC, 20001",Match,Exact,"1227 1st St NW, WASHINGTON, DC, 20001","-77.012146,38.906425",76226509,R
524,"1228 W ST NW, Washington, DC, 20009",Match,Exact,"1228 W St NW, WASHINGTON, DC, 20009","-77.02898,38.91917",76224252,L
534,"123 57TH ST SE, Washington, DC, 20019",Match,Exact,"123 57th St SE, WASHINGTON, DC, 20019","-76.91941,38.88854",624461401,R
541,"1232 D ST NE, Washington, DC, 20002",Match,Exact,"1232 D St NE, WASHINGTON, DC, 20002","-76.98958,38.8948",76230304,L
552,"1234 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1234 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.986565,38.90279",76230150,L
561,"1237 CARROLLSBURG PL SW, Washington, DC, 20024",Match,Exact,"1237 Carrollsburg Pl SW, WASHINGTON, DC, 20024","-77.00992,38.875763",76227184,R
568,"1238 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1238 Linden Pl NE, WASHINGTON, DC, 20002","-76.98947,38.899563",76230165,L
575,"124 7TH ST SE, Washington, DC, 20003",Match,Exact,"124 7th St SE, WASHINGTON, DC, 20003","-76.996155,38.887867",76234883,L
583,"1242 11TH ST NW, Washington, DC, 20001",Match,Exact,"1242 11th St NW, WASHINGTON, DC, 20001","-77.027054,38.906345",632575672,L
593,"1243 E ST NE, Washington, DC, 20002",Match,Exact,"1243 E St NE, WASHINGTON, DC, 20002","-76.9894,38.896103",76230330,R
602,"1245 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1245 Maryland Ave NE, WASHINGTON, DC, 20002","-76.98936,38.897697",76230313,R
611,"1247 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1247 Owen Pl NE, WASHINGTON, DC, 20002","-76.9866,38.90544",76230112,R
618,"125 16TH ST NE, Washington, DC, 20002",Match,Exact,"125 16th St NE, WASHINGTON, DC, 20002","-76.98219,38.89122",76230497,R
627,"1252 31ST ST NW, Washington, DC, 20007",Match,Exact,"1252 31st St NW, WASHINGTON, DC, 20007","-77.061226,38.90642",76235331,L
635,"1257 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1257 Morse St NE, WASHINGTON, DC, 20002","-76.988,38.902958",76230135,R
642,"126 16TH ST NE, Washington, DC, 20002",Match,Exact,"126 16th St NE, WASHINGTON, DC, 20002","-76.98223,38.891243",76230497,L
651,"1262 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1262 Owen Pl NE, WASHINGTON, DC, 20002","-76.986176,38.905293",76230112,L
662,"127 BATES ST NW, Washington, DC, 20001",Match,Exact,"127 Bates St NW, WASHINGTON, DC, 20001","-77.01267,38.910397",76226496,R
670,"1274 16TH ST NE, Washington, DC, 20002",Match,Exact,"1274 16th St NE, WASHINGTON, DC, 20002","-76.9799,38.907158",76230210,L
682,"129 DUDDINGTON PL SE, Washington, DC, 20003",Match,Exact,"129 Duddington Pl SE, WASHINGTON, DC, 20003","-77.00516,38.882587",76227169,R
691,"13 V ST NW, Washington, DC, 20001",Match,Exact,"13 V St NW, WASHINGTON, DC, 20001","-77.00962,38.91812",632575763,R
698,"130 YUMA ST SE, Washington, DC, 20032",Match,Exact,"130 Yuma St SE, WASHINGTON, DC, 20032","-77.00508,38.83207",76238119,L
705,"1301 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1301 Maryland Ave NE, WASHINGTON, DC, 20002","-76.988235,38.89815",76240337,R
715,"1303 POTOMAC AVE SE, Washington, DC, 20003",Match,Exact,"1303 Potomac Ave SE, WASHINGTON, DC, 20003","-76.98809,38.87926",76239683,R
722,"1304 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1304 Geranium St NW, WASHINGTON, DC, 20012","-77.03014,38.979378",76221561,L
732,"1305 Q ST NW, Washington, DC, 20009",Match,Exact,"1305 Q St NW, WASHINGTON, DC, 20009","-77.02984,38.91114",76225718,R
739,"1307 KEARNY ST NE, Washington, DC, 20017",Match,Non_Exact,"1307 Kearney St NE, WASHINGTON, DC, 20017","-76.98828,38.93068",76228764,R
748,"1309 F ST NE, Washington, DC, 20002",Match,Exact,"1309 F St NE, WASHINGTON, DC, 20002","-76.98802,38.89732",76230325,R
759,"131 U ST NE, Washington, DC, 20002",Match,Exact,"131 U St NE, WASHINGTON, DC, 20002","-77.00528,38.91698",76224709,R
768,"1310 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1310 Sheridan St NW, WASHINGTON, DC, 20011","-77.03022,38.966118",76221643,L
777,"1311 K ST SE, Washington, DC, 20003",Match,Exact,"1311 K St SE, WASHINGTON, DC, 20003","-76.987915,38.878387",76230926,R
791,"1313 POTOMAC AVE SE, Washington, DC, 20003",Match,Exact,"1313 Potomac Ave SE, WASHINGTON, DC, 20003","-76.98792,38.87933",76238040,R
799,"1315 ALLISON ST NW, Washington, DC, 20011",Match,Exact,"1315 Allison St NW, WASHINGTON, DC, 20011","-77.030594,38.94508",76223459,R
807,"1316 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1316 Florida Ave NE, WASHINGTON, DC, 20002","-76.987816,38.901752",76230154,L
814,"1317 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"1317 Delafield Pl NW, WASHINGTON, DC, 20011","-77.03027,38.949017",76238316,R
823,"1319 FLORAL ST NW, Washington, DC, 20012",Match,Exact,"1319 Floral St NW, WASHINGTON, DC, 20012","-77.032326,38.978703",76221546,R
830,"132 U ST NW, Washington, DC, 20001",Match,Exact,"132 U St NW, WASHINGTON, DC, 20001","-77.013176,38.916985",76224635,L
837,"1320 MADISON ST NW, Washington, DC, 20011",Match,Exact,"1320 Madison St NW, WASHINGTON, DC, 20011","-77.03124,38.95834",76222313,L
844,"1321 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"1321 Ingraham St NW, WASHINGTON, DC, 20011","-77.03057,38.954098",76222326,R
855,"1322 VERMONT AVE NW, Washington, DC, 20005",Match,Exact,"1322 Vermont Ave NW, WASHINGTON, DC, 20005","-77.03045,38.908253",76225731,L
862,"1324 BUCHANAN ST NW, Washington, DC, 20011",Match,Exact,"1324 Buchanan St NW, WASHINGTON, DC, 20011","-77.03091,38.94611",76222465,L
870,"1326 9TH ST NW, Washington, DC, 20001",Match,Exact,"1326 9th St NW, WASHINGTON, DC, 20001","-77.02399,38.907806",624363216,L
881,"1327 TALBERT TER SE, Washington, DC, 20020",Match,Exact,"1327 Talbert Ter SE, WASHINGTON, DC, 20020","-76.991066,38.86111",76231094,R
890,"1328 NEWTON ST NE, Washington, DC, 20017",Match,Exact,"1328 Newton St NE, WASHINGTON, DC, 20017","-76.98805,38.933693",76228738,L
897,"1329 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1329 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.98732,38.8862",76230855,R
905,"1331 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1331 Constitution Ave NE, WASHINGTON, DC, 20002","-76.98741,38.892",76230387,R
913,"1333 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"1333 Delafield Pl NW, WASHINGTON, DC, 20011","-77.03068,38.949013",76238316,R
922,"1335 CORCORAN ST NW, Washington, DC, 20009",Match,Exact,"1335 Corcoran St NW, WASHINGTON, DC, 20009","-77.030464,38.91188",76226048,R
930,"1336 G ST NE, Washington, DC, 20002",Match,Exact,"1336 G St NE, WASHINGTON, DC, 20002","-76.986916,38.898937",76240340,L
937,"1337 CHILDRESS ST NE, Washington, DC, 20002",Match,Exact,"1337 Childress St NE, WASHINGTON, DC, 20002","-76.98302,38.9061",76230200,R
945,"1338 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1338 Maryland Ave NE, WASHINGTON, DC, 20002","-76.986145,38.899036",76242986,L
