ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
1,"0 BANCROFT PL NW, Washington, DC, 20008",No_Match,,,,,
6,"10 BRYANT ST NE, Washington, DC, 20002",Match,Exact,"10 Bryant St NE, WASHINGTON, DC, 20002","-77.00885,38.92132",76224672,L
11,"1000 MONROE ST NE, Washington, DC, 20017",Match,Exact,"1000 Monroe St NE, WASHINGTON, DC, 20017","-76.99254,38.932476",76228721,L
16,"1001 IRVING ST NE, Washington, DC, 20017",Match,Exact,"1001 Irving St NE, WASHINGTON, DC, 20017","-76.99235,38.928497",76228748,R
21,"1003 15TH ST SE, Washington, DC, 20003",Match,Exact,"1003 15th St SE, WASHINGTON, DC, 20003","-76.98367,38.87833",76230991,R
26,"1004 3RD ST SE, Washington, DC, 20003",Match,Exact,"1004 3rd St SE, WASHINGTON, DC, 20003","-77.00202,38.87833",76230622,L
31,"1004 NORTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1004 North Carolina Ave SE, WASHINGTON, DC, 20003","-76.99256,38.888878",76230063,L
36,"1007 E ST SE, Washington, DC, 20003",Match,Exact,"1007 E St SE, WASHINGTON, DC, 20003","-76.99253,38.882713",76230839,R
41,"1009 D ST SE, Washington, DC, 20003",Match,Exact,"1009 D St SE, WASHINGTON, DC, 20003","-76.99259,38.88409",76230696,R
46,"101 4TH ST NE, Washington, DC, 20002",Match,Exact,"101 4th St NE, WASHINGTON, DC, 20002","-77.000565,38.89099",76229906,R
51,"1011 E ST NE, Washington, DC, 20002",Match,Exact,"1011 E St NE, WASHINGTON, DC, 20002","-76.992485,38.896103",76230294,R
56,"1012 7TH ST SE, Washington, DC, 20003",Match,Exact,"1012 7th St SE, WASHINGTON, DC, 20003","-76.99617,38.87827",76230722,L
61,"1013 V ST NW, Washington, DC, 20001",Match,Exact,"1013 V St NW, WASHINGTON, DC, 20001","-77.02616,38.918125",76224297,R
66,"1015 IRVING ST NW, Washington, DC, 20010",Match,Exact,"1015 Irving St NW, WASHINGTON, DC, 20010","-77.02647,38.928818",76224112,R
71,"1016 MASSACHUSETTS AVE NE, Washington, DC, 20002",Match,Exact,"1016 Massachusetts Ave NE, WASHINGTON, DC, 20002","-76.992424,38.890705",76230048,L
76,"1018 9TH ST NE, Washington, DC, 20002",Match,Exact,"1018 9th St NE, WASHINGTON, DC, 20002","-76.993774,38.903072",76229787,L
81,"1019 IRVING ST NW, Washington, DC, 20010",Match,Exact,"1019 Irving St NW, WASHINGTON, DC, 20010","-77.02651,38.928814",76224112,R
86,"1021 PAPER MILL CT NW, Washington, DC, 20007",Match,Exact,"1021 Paper Mill Ct NW, WASHINGTON, DC, 20007","-77.06502,38.90397",76224926,R
91,"1022 W ST NW, Washington, DC, 20001",Match,Exact,"1022 W St NW, WASHINGTON, DC, 20001","-77.02625,38.91917",76224262,L
96,"1026 GIRARD ST NE, Washington, DC, 20017",Match,Exact,"1026 Girard St NE, WASHINGTON, DC, 20017","-76.99211,38.926514",76228758,L
101,"1030 29TH ST NW, Washington, DC, 20007",Match,Exact,"1030 29th St NW, WASHINGTON, DC, 20007","-77.058075,38.90314",76225036,L
106,"1034 NEWTON ST NE, Washington, DC, 20017",Match,Exact,"1034 Newton St NE, WASHINGTON, DC, 20017","-76.99238,38.933475",76228719,L
111,"1040 CRITTENDEN ST NE, Washington, DC, 20017",Match,Exact,"1040 Crittenden St NE, WASHINGTON, DC, 20017","-76.990364,38.947304",76228268,L
116,"105 R ST NE, Washington, DC, 20002",Match,Exact,"105 R St NE, WASHINGTON, DC, 20002","-77.00636,38.912582",76228622,R
121,"106 9TH ST SE, Washington, DC, 20003",Match,Exact,"106 9th St SE, WASHINGTON, DC, 20003","-76.993744,38.888306",76230054,L
126,"108 PEABODY ST NE, Washington, DC, 20011",Match,Exact,"108 Peabody St NE, WASHINGTON, DC, 20011","-77.00573,38.96271",76223841,L
131,"109 6TH ST NE, Washington, DC, 20002",Match,Exact,"109 6th St NE, WASHINGTON, DC, 20002","-76.998436,38.89107",76229916,R
136,"11 HAMILTON ST NE, Washington, DC, 20011",Match,Exact,"11 Hamilton St NE, WASHINGTON, DC, 20011","-77.00894,38.95344",76223879,R
141,"110 TODD PL NE, Washington, DC, 20002",Match,Exact,"110 Todd Pl NE, WASHINGTON, DC, 20002","-77.0055,38.916294",76224714,L
146,"1102 EAST CAPITOL ST NE, Washington, DC, 20002",Match,Exact,"1102 E Capitol St NE, WASHINGTON, DC, 20002","-76.99145,38.890385",76230361,L
151,"1105 G ST SE, Washington, DC, 20003",Match,Exact,"1105 G St SE, WASHINGTON, DC, 20003","-76.991425,38.881256",76230847,R
156,"1108 4TH ST NE, Washington, DC, 20002",Match,Exact,"1108 4th St NE, WASHINGTON, DC, 20002","-77.00059,38.903965",76229711,L
161,"1111 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1111 Owen Pl NE, WASHINGTON, DC, 20002","-76.98962,38.906708",76230071,R
166,"1113 D ST SE, Washington, DC, 20003",Match,Exact,"1113 D St SE, WASHINGTON, DC, 20003","-76.99136,38.88409",76230835,R
171,"1114 BUCHANAN ST NW, Washington, DC, 20011",Match,Exact,"1114 Buchanan St NW, WASHINGTON, DC, 20011","-77.0278,38.94611",76243581,L
176,"1115 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1115 Owen Pl NE, WASHINGTON, DC, 20002","-76.98955,38.906673",76230071,R
