ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
942,"1422 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1422 Shepherd St NW, WASHINGTON, DC, 20011","-77.03319,38.939728",76222477,L
1412,"17 EVARTS ST NE, Washington, DC, 20002",Match,Exact,"17 Evarts St NE, WASHINGTON, DC, 20002","-77.00879,38.924503",76224665,R
332,"1214 C ST SE, Washington, DC, 20003",Match,Exact,"1214 C St SE, WASHINGTON, DC, 20003","-76.98965,38.886047",76240352,L
3282,"411 A ST NE, Washington, DC, 20002",Match,Exact,"411 A St NE, WASHINGTON, DC, 20002","-77.00043,38.890923",76229917,R
3477,"4401 7TH ST NW, Washington, DC, 20011",Match,Exact,"4401 7th St NW, WASHINGTON, DC, 20011","-77.02171,38.944176",76223585,R
1417,"170 BRYANT ST NW, Washington, DC, 20001",Match,Exact,"170 Bryant St NW, WASHINGTON, DC, 20001","-77.014046,38.920807",76224582,L
337,"1214 WYLIE ST NE, Washington, DC, 20002",Match,Exact,"1214 Wylie St NE, WASHINGTON, DC, 20002","-76.9899,38.900776",76230161,L
947,"1424 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1424 Sheridan St NW, WASHINGTON, DC, 20011","-77.03422,38.96612",76221635,L
3287,"4110 18TH ST NE, Washington, DC, 20018",Match,Exact,"4110 18th St NE, WASHINGTON, DC, 20018","-76.98015,38.939735",76228415,L
747,"1348 NEWTON ST NE, Washington, DC, 20017",Match,Exact,"1348 Newton St NE, WASHINGTON, DC, 20017","-76.987625,38.933716",76228738,L
3482,"4403 7TH ST NW, Washington, DC, 20011",Match,Exact,"4403 7th St NW, WASHINGTON, DC, 20011","-77.02171,38.944195",76223585,R
2952,"3513 HOLMEAD PL NW, Washington, DC, 20010",Match,Exact,"3513 Holmead Pl NW, WASHINGTON, DC, 20010","-77.03085,38.93491",76222962,R
1822,"2007 PERRY ST NE, Washington, DC, 20018",Match,Exact,"2007 Perry St NE, WASHINGTON, DC, 20018","-76.97607,38.936157",76229126,R
532,"1303 NEWTON ST NE, Washington, DC, 20017",Match,Exact,"1303 Newton St NE, WASHINGTON, DC, 20017","-76.9886,38.93364",76228738,R
2957,"3517 W PL NW, Washington, DC, 20007",Match,Exact,"3517 W Pl NW, WASHINGTON, DC, 20007","-77.07134,38.91885",76221036,R
537,"1305 LOCUST RD NW, Washington, DC, 20012",Match,Exact,"1305 Locust Rd NW, WASHINGTON, DC, 20012","-77.029884,38.98538",76221523,R
